AA CC 00 0F C3 FF FF 00 06 0F 2C 22 BD 4E 40 14 12 02 A5   = 04/16/2018 09:39:05
AA CC 00 0F C3 FF FF 00 02 0F 10 22 BD 4E C0 14 12 03 05   = 04/16/2018 09:39:07
AA CC 00 0F C3 FF FF 00 0B 0F 69 22 BD 4E C0 14 12 03 67   = 04/16/2018 09:39:07
AA CC 00 0F C3 FF FF 00 02 0F 11 22 BD 4E C0 14 12 03 06   = 04/16/2018 09:39:07
AA CC 00 0F C3 FF FF 00 03 0F 08 22 BD 4E C0 14 12 02 FE   = 04/16/2018 09:39:07
AA CC 00 0F C3 FF FF 00 0B 0F 6A 22 BD 4E C0 14 12 03 68   = 04/16/2018 09:39:07
AA CC 00 0F C3 FF FF 00 0A 0F 38 22 BD 4E C0 14 12 03 35   = 04/16/2018 09:39:07
AA CC 00 0F C3 FF FF 00 06 0F 2D 22 BD 4E C0 14 12 03 26   = 04/16/2018 09:39:07
AA CC 00 0F C3 FF FF 00 02 0F 12 22 BD 4E C0 14 12 03 07   = 04/16/2018 09:39:07
AA CC 00 0F C3 FF FF 00 03 0F 09 22 BD 4E C0 14 12 02 FF   = 04/16/2018 09:39:07
AA CC 00 0F C3 FF FF 00 0A 0F 39 22 BD 4E C0 14 12 03 36   = 04/16/2018 09:39:07
AA CC 00 0F C3 FF FF 00 0B 0F 6B 22 BD 4E C0 14 12 03 69   = 04/16/2018 09:39:07
AA CC 00 0F C3 FF FF 00 0B 0F 6C 22 BD 4F 80 14 12 03 2B   = 04/16/2018 09:39:10
AA CC 00 0F C3 FF FF 00 0B 0F 6D 22 BD 50 40 14 12 02 ED   = 04/16/2018 09:39:13
AA CC 00 0F C3 FF FF 00 06 0F 2E 22 D0 A3 C0 14 12 03 8F   = 04/16/2018 15:09:03
AA CC 00 0F C3 FF FF 00 06 0F 2F 22 D0 A3 C0 14 12 03 90   = 04/16/2018 15:09:03
AA CC 00 0F C3 FF FF 00 06 0F 30 22 D1 57 40 14 12 02 C6   = 04/16/2018 15:21:01
AA CC 00 0F C3 FF FF 00 06 0F 31 22 D1 57 40 14 12 02 C7   = 04/16/2018 15:21:01
AA CC 00 0F C3 FF FF 00 06 0F 32 22 D5 4E 40 14 12 02 C3   = 04/16/2018 16:28:41
AA CC 00 0F C3 FF FF 00 03 0F 0A 22 D5 4E 40 14 12 02 98   = 04/16/2018 16:28:41
AA CC 00 0F C3 FF FF 00 0B 0F 6E 22 D5 4E 40 14 12 03 04   = 04/16/2018 16:28:41
AA CC 00 0F C3 FF FF 00 02 0F 13 22 D5 4E 40 14 12 02 A0   = 04/16/2018 16:28:41
AA CC 00 0F C3 FF FF 00 0A 0F 3A 22 D5 4E 40 14 12 02 CF   = 04/16/2018 16:28:41
AA CC 00 0F C3 FF FF 00 02 0F 14 22 D5 4E 80 14 12 02 E1   = 04/16/2018 16:28:42
AA CC 00 0F C3 FF FF 00 0B 0F 6F 22 D5 51 C0 14 12 03 88   = 04/16/2018 16:28:55
AA CC 00 0F C3 FF FF 00 02 0F 15 22 D7 22 00 14 12 02 38   = 04/16/2018 16:59:52
AA CC 00 0F C3 FF FF 00 06 0F 33 22 D7 22 00 14 12 02 5A   = 04/16/2018 16:59:52
AA CC 00 0F C3 FF FF 00 02 0F 16 22 D7 22 00 14 12 02 39   = 04/16/2018 16:59:52
AA CC 00 0F C3 FF FF 00 0B 0F 70 22 D7 22 00 14 12 02 9C   = 04/16/2018 16:59:52
AA CC 00 0F C3 FF FF 00 02 0F 17 22 D7 22 00 14 12 02 3A   = 04/16/2018 16:59:52
AA CC 00 0F C3 FF FF 00 0A 0F 3B 22 D7 22 00 14 12 02 66   = 04/16/2018 16:59:52
AA CC 00 0F C3 FF FF 00 03 0F 0B 22 D7 22 00 14 12 02 2F   = 04/16/2018 16:59:52
AA CC 00 0F C3 FF FF 00 06 0F 34 22 D7 22 00 14 12 02 5B   = 04/16/2018 16:59:52
AA CC 00 0F C3 FF FF 00 0B 0F 71 22 D7 22 00 14 12 02 9D   = 04/16/2018 16:59:52
AA CC 00 0F C3 FF FF 00 02 0F 18 22 D7 22 00 14 12 02 3B   = 04/16/2018 16:59:52
AA CC 00 0F C3 FF FF 00 0A 0F 3C 22 D7 22 00 14 12 02 67   = 04/16/2018 16:59:52
AA CC 00 0F C3 FF FF 00 03 0F 0C 22 D7 22 00 14 12 02 30   = 04/16/2018 16:59:52
AA CC 00 0F C3 FF FF 00 06 0F 35 22 D7 22 00 14 12 02 5C   = 04/16/2018 16:59:52
AA CC 00 0F C3 FF FF 00 0B 0F 72 22 D7 22 00 14 12 02 9E   = 04/16/2018 16:59:52
AA CC 00 0F C3 FF FF 00 0A 0F 3D 22 D7 22 00 14 12 02 68   = 04/16/2018 16:59:52
AA CC 00 0F C3 FF FF 00 0A 0F 3E 22 D7 22 00 14 12 02 69   = 04/16/2018 16:59:52
AA CC 00 0F C3 FF FF 00 0B 0F 73 22 D7 25 C0 14 12 03 62   = 04/16/2018 17:00:07
AA CC 00 0F C3 FF FF 00 06 0F 36 22 D7 26 00 14 12 02 61   = 04/16/2018 17:00:08
