AA  CC  00  09  C0  00  00  FF  FF  07  09  02  D7    = 04/27/2018 09:23:05
AA  CC  00  09  C0  00  00  FF  FF  07  0A  02  D8    = 04/27/2018 09:23:16
AA  CC  00  09  C0  00  00  FF  FF  07  0B  02  D9    = 04/27/2018 12:40:02
AA  CC  00  0A  C4  00  04  FF  FF  0F  2C  00  03  0B    = 04/27/2018 12:40:06
AA  CC  00  0A  C4  00  04  FF  FF  0F  2D  00  03  0C    = 04/27/2018 12:40:10
AA  CC  00  0A  C4  00  04  FF  FF  0F  2D  00  03  0C    = 04/27/2018 12:40:11
AA  CC  00  0A  C4  00  04  FF  FF  0F  2E  00  03  0D    = 04/27/2018 12:40:12
AA  CC  00  0A  C4  00  04  FF  FF  0F  2F  00  03  0E    = 04/27/2018 12:40:16
AA  CC  00  0A  C4  00  04  FF  FF  0F  2F  00  03  0E    = 04/27/2018 12:40:17
AA  CC  00  0A  C4  00  04  FF  FF  0F  30  00  03  0F    = 04/27/2018 12:40:19
AA  CC  00  0A  C4  00  04  FF  FF  0F  31  00  03  10    = 04/27/2018 12:40:21
AA  CC  00  0A  C4  00  04  FF  FF  0F  31  00  03  10    = 04/27/2018 12:40:22
AA  CC  00  0A  C4  00  04  FF  FF  0F  32  00  03  11    = 04/27/2018 12:40:23
AA  CC  00  0B  D8  00  04  FF  FF  0F  34  00  04  03  2C    = 04/27/2018 13:29:01
AA  CC  00  0B  D8  00  04  FF  FF  0F  35  00  04  03  2D    = 04/27/2018 13:29:02
AA  CC  00  0B  D8  00  04  FF  FF  0F  36  00  04  03  2E    = 04/27/2018 13:29:08
AA  CC  00  0B  D8  00  04  FF  FF  0F  37  00  04  03  2F    = 04/27/2018 13:29:13
AA  CC  00  0B  D8  00  04  FF  FF  0F  38  00  02  03  2E    = 04/27/2018 14:21:11
AA  CC  00  0B  D8  00  04  FF  FF  0F  39  00  02  03  2F    = 04/27/2018 14:21:15
AA  CC  00  0B  D8  00  04  FF  FF  0F  3A  00  02  03  30    = 04/27/2018 14:21:16
AA  CC  00  0B  D8  00  04  FF  FF  0F  3B  00  02  03  31    = 04/27/2018 14:21:23
AA  CC  00  0B  D8  00  04  FF  FF  0F  3C  00  04  03  34    = 04/27/2018 14:27:02
AA  CC  00  0B  D8  00  04  FF  FF  0F  3C  00  04  03  34    = 04/27/2018 14:27:05
AA  CC  00  0B  D8  00  04  FF  FF  0F  3D  00  04  03  35    = 04/27/2018 14:27:09
AA  CC  00  0B  D8  00  04  FF  FF  0F  3E  00  04  03  36    = 04/27/2018 14:27:12
AA  CC  00  0B  D8  00  04  FF  FF  0F  3E  00  04  03  36    = 04/27/2018 14:27:16
AA  CC  00  0B  D8  00  04  FF  FF  0F  3F  00  04  03  37    = 04/27/2018 14:27:27
AA  CC  00  0B  D8  00  04  FF  FF  0F  40  00  01  03  35    = 04/27/2018 14:45:20
AA  CC  00  0B  D8  00  04  FF  FF  0F  40  00  01  03  35    = 04/27/2018 14:45:23
AA  CC  00  0B  D8  00  04  FF  FF  0F  41  00  01  03  36    = 04/27/2018 14:45:25
AA  CC  00  0B  D8  00  04  FF  FF  0F  42  00  01  03  37    = 04/27/2018 14:45:26
AA  CC  00  0B  D8  00  04  FF  FF  0F  43  00  01  03  38    = 04/27/2018 14:45:32
AA  CC  00  0B  D8  00  04  FF  FF  0F  45  00  04  03  3D    = 04/27/2018 14:46:18
AA  CC  00  0B  D8  00  04  FF  FF  0F  46  00  04  03  3E    = 04/27/2018 14:46:25
AA  CC  00  0B  D8  00  04  FF  FF  0F  48  00  02  03  3E    = 04/27/2018 14:47:10
AA  CC  00  0B  D8  00  04  FF  FF  0F  49  00  02  03  3F    = 04/27/2018 14:47:10
AA  CC  00  0B  D8  00  04  FF  FF  0F  4A  00  02  03  40    = 04/27/2018 14:47:22
AA  CC  00  0B  D8  00  04  FF  FF  0F  4B  00  02  03  41    = 04/27/2018 14:47:22
