AA CC 00 0C 98 FF FF 00 08 0F 00 00 06 FF 01 BF   = 05/02/2018 09:51:04
AA CC 00 0C 98 FF FF 00 08 0F 01 00 06 FF 01 C0   = 05/02/2018 09:51:13
AA CC 00 0C 98 FF FF 00 08 0F 02 00 06 FF 01 C1   = 05/02/2018 09:51:13
AA CC 00 0C 98 FF FF 00 08 0F 03 00 06 FF 01 C2   = 05/02/2018 09:51:20
AA CC 00 0F C3 FF FF 00 01 0F 00 28 04 0A 00 14 12 01 3D   = 05/02/2018 09:51:36
AA CC 00 0F C3 FF FF 00 01 0F 01 28 04 0A C0 14 12 01 FE   = 05/02/2018 09:51:39
AA CC 00 0F C3 FF FF 00 01 0F 02 28 04 0B 40 14 12 01 80   = 05/02/2018 09:51:41
AA CC 00 0C 98 FF FF 00 08 0F 04 00 07 FF 01 C4   = 05/02/2018 09:51:41
AA CC 00 0C 98 FF FF 00 08 0F 05 00 07 FF 01 C5   = 05/02/2018 09:51:41
AA CC 00 0C 98 FF FF 00 08 0F 06 00 07 FF 01 C6   = 05/02/2018 09:51:41
AA CC 00 0C 98 FF FF 00 08 0F 07 00 07 FF 01 C7   = 05/02/2018 09:51:46
AA CC 00 0C 98 FF FF 00 08 0F 08 00 06 FF 01 C7   = 05/02/2018 11:52:57
AA CC 00 0C 98 FF FF 00 01 0F 03 00 07 FF 01 BC   = 05/02/2018 11:52:57
AA CC 00 0C 98 FF FF 00 08 0F 09 00 06 FF 01 C8   = 05/02/2018 11:52:57
AA CC 00 0C 98 FF FF 00 01 0F 04 00 07 FF 01 BD   = 05/02/2018 11:52:57
AA CC 00 0C 98 FF FF 00 08 0F 0A 00 06 FF 01 C9   = 05/02/2018 11:53:04
AA CC 00 0C 98 FF FF 00 01 0F 05 00 07 FF 01 BE   = 05/02/2018 11:53:04
AA CC 00 0C 98 FF FF 00 08 0F 0B 00 06 FF 01 CA   = 05/02/2018 11:53:13
AA CC 00 0C 98 FF FF 00 01 0F 06 00 07 FF 01 BF   = 05/02/2018 11:53:13
AA CC 00 0F C3 FF FF 00 02 0F 00 28 0C 74 40 14 12 01 F0   = 05/02/2018 12:15:13
AA CC 00 0F C3 FF FF 00 02 0F 01 28 0C 74 40 14 12 01 F1   = 05/02/2018 12:15:13
AA CC 00 0F C3 FF FF 00 0A 0F 00 28 0C 74 40 14 12 01 F8   = 05/02/2018 12:15:13
AA CC 00 0F C3 FF FF 00 02 0F 02 28 0C 74 40 14 12 01 F2   = 05/02/2018 12:15:13
AA CC 00 0F C3 FF FF 00 0A 0F 01 28 0C 74 40 14 12 01 F9   = 05/02/2018 12:15:13
AA CC 00 0F C3 FF FF 00 0A 0F 02 28 0C 74 40 14 12 01 FA   = 05/02/2018 12:15:13
AA CC 00 0F C3 FF FF 00 06 0F 00 28 0C 74 40 14 12 01 F4   = 05/02/2018 12:15:13
AA CC 00 0F C3 FF FF 00 02 0F 03 28 0C 74 40 14 12 01 F3   = 05/02/2018 12:15:13
AA CC 00 0F C3 FF FF 00 0A 0F 03 28 0C 74 40 14 12 01 FB   = 05/02/2018 12:15:13
AA CC 00 0F C3 FF FF 00 06 0F 01 28 0C 74 40 14 12 01 F5   = 05/02/2018 12:15:13
AA CC 00 0F C3 FF FF 00 02 0F 04 28 0C 74 40 14 12 01 F4   = 05/02/2018 12:15:13
AA CC 00 0F C3 FF FF 00 0A 0F 04 28 0C 74 40 14 12 01 FC   = 05/02/2018 12:15:13
AA CC 00 0F C3 FF FF 00 06 0F 02 28 0C 74 40 14 12 01 F6   = 05/02/2018 12:15:13
AA CC 00 0F C3 FF FF 00 02 0F 05 28 0C 74 40 14 12 01 F5   = 05/02/2018 12:15:13
AA CC 00 0F C3 FF FF 00 0A 0F 05 28 0C 74 40 14 12 01 FD   = 05/02/2018 12:15:13
AA CC 00 0F C3 FF FF 00 02 0F 06 28 0E 6B C0 14 12 02 6F   = 05/02/2018 12:48:47
AA CC 00 0F C3 FF FF 00 06 0F 03 28 0E 6C 40 14 12 01 F1   = 05/02/2018 12:48:49
AA CC 00 0F C3 FF FF 00 0A 0F 06 28 0E 6C 40 14 12 01 F8   = 05/02/2018 12:48:49
AA CC 00 0F C3 FF FF 00 0A 0F 07 28 0E 6D 40 14 12 01 FA   = 05/02/2018 12:48:53
AA CC 00 0C 98 FF FF 00 08 0F 0C 00 06 FF 01 CB   = 05/02/2018 15:30:45
AA CC 00 0C 98 FF FF 00 08 0F 0D 00 06 FF 01 CC   = 05/02/2018 15:30:48
AA CC 00 0C 98 FF FF 00 08 0F 0E 00 06 FF 01 CD   = 05/02/2018 15:30:51
AA CC 00 0C 98 FF FF 00 08 0F 0F 00 06 FF 01 CE   = 05/02/2018 15:30:59
