AA  CC  00  09  83  00  03  00  00  00  00  00  8F    = 06/05/2018 11:08:00
AA  CC  00  09  C0  00  03  FF  FF  0F  07  02  E0    = 06/05/2018 11:10:43
AA  CC  00  09  C0  00  02  FF  FF  0F  60  03  38    = 06/05/2018 11:10:47
AA  CC  00  09  C0  00  0A  FF  FF  0F  38  03  18    = 06/05/2018 11:10:51
AA  CC  00  0A  C4  00  0A  FF  FF  0F  39  00  03  1E    = 06/05/2018 11:10:56
AA  CC  00  0A  C4  00  0A  FF  FF  0F  39  00  03  1E    = 06/05/2018 11:10:57
AA  CC  00  0A  C4  00  0A  FF  FF  0F  3A  00  03  1F    = 06/05/2018 11:10:59
AA  CC  00  0A  C4  00  0A  FF  FF  0F  3A  00  03  1F    = 06/05/2018 11:11:01
AA  CC  00  0A  C4  00  0A  FF  FF  0F  3B  00  03  20    = 06/05/2018 11:11:01
AA  CC  00  0A  C4  00  0A  FF  FF  0F  3B  00  03  20    = 06/05/2018 11:11:03
AA  CC  00  0A  C4  00  0A  FF  FF  0F  3C  00  03  21    = 06/05/2018 11:11:06
AA  CC  00  0A  C4  00  06  FF  FF  0F  06  00  02  E7    = 06/05/2018 11:11:09
AA  CC  00  0A  C4  00  06  FF  FF  0F  07  00  02  E8    = 06/05/2018 11:11:13
AA  CC  00  0A  C4  00  06  FF  FF  0F  07  00  02  E8    = 06/05/2018 11:11:14
AA  CC  00  0A  C4  00  03  FF  FF  0F  08  00  02  E6    = 06/05/2018 11:11:15
AA  CC  00  0A  C4  00  03  FF  FF  0F  09  00  02  E7    = 06/05/2018 11:11:16
AA  CC  00  0A  C4  00  03  FF  FF  0F  0A  00  02  E8    = 06/05/2018 11:11:19
AA  CC  00  0A  C4  00  02  FF  FF  0F  61  00  03  3E    = 06/05/2018 11:11:22
AA  CC  00  0A  C4  00  02  FF  FF  0F  62  00  03  3F    = 06/05/2018 11:11:26
AA  CC  00  0A  C4  00  02  FF  FF  0F  62  00  03  3F    = 06/05/2018 11:11:27
AA  CC  00  0A  C4  00  02  FF  FF  0F  63  00  03  40    = 06/05/2018 11:11:29
AA  CC  00  0A  C4  00  02  FF  FF  0F  63  00  03  40    = 06/05/2018 11:11:30
AA  CC  00  0A  C4  00  06  FF  FF  0F  08  00  02  E9    = 06/05/2018 11:11:47
AA  CC  00  0A  C4  00  06  FF  FF  0F  09  00  02  EA    = 06/05/2018 11:11:49
AA  CC  00  0A  C4  00  06  FF  FF  0F  09  00  02  EA    = 06/05/2018 11:11:52
AA  CC  00  09  C0  00  06  FF  FF  0F  0A  02  E6    = 06/05/2018 11:13:02
AA  CC  00  0A  C4  00  06  FF  FF  0F  0B  00  02  EC    = 06/05/2018 11:13:04
AA  CC  00  0A  C4  00  06  FF  FF  0F  0B  00  02  EC    = 06/05/2018 11:13:08
AA  CC  00  0A  C4  00  06  FF  FF  0F  0C  00  02  ED    = 06/05/2018 11:13:08
AA  CC  00  0B  D8  00  0A  FF  FF  0F  3D  00  04  03  3B    = 06/05/2018 11:16:38
AA  CC  00  0B  D8  00  0A  FF  FF  0F  3D  00  04  03  3B    = 06/05/2018 11:16:39
AA  CC  00  0B  D8  00  0A  FF  FF  0F  3E  00  04  03  3C    = 06/05/2018 11:16:42
AA  CC  00  0B  D8  00  0A  FF  FF  0F  3F  00  04  03  3D    = 06/05/2018 11:16:43
AA  CC  00  0B  D8  00  0A  FF  FF  0F  40  00  04  03  3E    = 06/05/2018 11:16:49
AA  CC  00  0B  D8  00  0A  FF  FF  0F  40  00  04  03  3E    = 06/05/2018 11:16:50
AA  CC  00  0B  D8  00  0A  FF  FF  0F  41  00  04  03  3F    = 06/05/2018 11:24:04
AA  CC  00  0B  D8  00  0A  FF  FF  0F  41  00  04  03  3F    = 06/05/2018 11:24:06
AA  CC  00  0B  D8  00  0A  FF  FF  0F  42  00  04  03  40    = 06/05/2018 11:24:08
AA  CC  00  0B  D8  00  0A  FF  FF  0F  43  00  04  03  41    = 06/05/2018 11:24:10
AA  CC  00  0B  D8  00  0A  FF  FF  0F  44  00  04  03  42    = 06/05/2018 11:24:15
AA  CC  00  0B  D8  00  0A  FF  FF  0F  44  00  04  03  42    = 06/05/2018 11:24:17
AA  CC  00  0B  D8  00  0A  FF  FF  0F  45  00  04  03  43    = 06/05/2018 11:25:29
AA  CC  00  0B  D8  00  0A  FF  FF  0F  45  00  04  03  43    = 06/05/2018 11:25:30
AA  CC  00  0B  D8  00  0A  FF  FF  0F  46  00  04  03  44    = 06/05/2018 11:25:32
AA  CC  00  0B  D8  00  0A  FF  FF  0F  47  00  04  03  45    = 06/05/2018 11:25:36
AA  CC  00  0B  D8  00  0A  FF  FF  0F  47  00  04  03  45    = 06/05/2018 11:25:38
AA  CC  00  0B  D8  00  0A  FF  FF  0F  48  00  04  03  46    = 06/05/2018 11:25:40
AA  CC  00  0B  D8  00  0A  FF  FF  0F  48  00  04  03  46    = 06/05/2018 11:25:40
AA  CC  00  0B  D8  00  0A  FF  FF  0F  49  00  04  03  47    = 06/05/2018 11:27:36
AA  CC  00  0B  D8  00  0A  FF  FF  0F  49  00  04  03  47    = 06/05/2018 11:27:39
AA  CC  00  0B  D8  00  0A  FF  FF  0F  4A  00  04  03  48    = 06/05/2018 11:27:43
AA  CC  00  0B  D8  00  0A  FF  FF  0F  4B  00  04  03  49    = 06/05/2018 11:27:48
AA  CC  00  0B  D8  00  0A  FF  FF  0F  4B  00  04  03  49    = 06/05/2018 11:27:49
AA  CC  00  0B  D8  00  0A  FF  FF  0F  4C  00  04  03  4A    = 06/05/2018 11:27:52
AA  CC  00  0B  D8  00  0A  FF  FF  0F  4D  00  02  03  49    = 06/05/2018 11:27:58
AA  CC  00  0B  D8  00  0A  FF  FF  0F  4E  00  02  03  4A    = 06/05/2018 11:28:02
