SEQUENCE MISS REPORT 
Report Taken on : 30/Apr/18 09:32:12
From: 29/Apr/18  00:00:00
To: 29/Apr/18  23:59:59 
SlNo     STATION NAME     FROM SEQ.NO                    TO SEQ.NO     FROM TIME                   TO TIME                     COUNT     REMARKS     
1          Spot_2         7684                           7686          04/29/2018 00:12:12:984     04/29/2018 00:12:12:984     1         Missed      
2          Spot_2         10148                          10151         04/29/2018 03:20:08:984     04/29/2018 03:20:08:984     2         Missed      
3          Spot_2         10479                          10481         04/29/2018 03:46:07:984     04/29/2018 03:46:07:984     1         Missed      
4          Spot_2         13530                          13532         04/29/2018 07:40:02:984     04/29/2018 07:40:02:984     1         Missed      
5          Spot_2         14817                          14819         04/29/2018 09:17:59:984     04/29/2018 09:17:59:984     1         Missed      
6          Spot_2         15481                          15484         04/29/2018 10:09:39:984     04/29/2018 10:09:58:984     2         Missed      
7          Spot_2         17753                          17756         04/29/2018 13:03:35:984     04/29/2018 13:03:54:984     2         Missed      
8          Spot_2         17860                          17862         04/29/2018 13:11:54:984     04/29/2018 13:11:54:984     1         Missed      
9          Spot_2         18078                          18081         04/29/2018 13:27:53:984     04/29/2018 13:27:53:984     2         Missed      
10         Spot_2         18173                          18175         04/29/2018 13:35:53:984     04/29/2018 13:35:53:984     1         Missed      
11         Spot_2         18387                          18390         04/29/2018 13:51:53:984     04/29/2018 13:51:53:984     2         Missed      
12         Spot_2         18494                          18496         04/29/2018 13:59:53:984     04/29/2018 13:59:53:984     1         Missed      
13         Spot_2         18709                          18712         04/29/2018 14:15:52:984     04/29/2018 14:15:52:984     2         Missed      
14         Spot_2         18810                          18812         04/29/2018 14:23:52:984     04/29/2018 14:23:52:984     1         Missed      
15         Spot_2         21587                          0             04/29/2018 17:56:03:984     04/29/2018 18:31:46:000     ~~~       DlReset     
16         Spot_2         99                             102           04/29/2018 18:39:43:984     04/29/2018 18:39:43:984     2         Missed      
17         Spot_2         1182                           1184          04/29/2018 20:02:44:984     04/29/2018 20:03:41:984     1         Missed      
18         Spot_2         1740                           1743          04/29/2018 20:45:40:984     04/29/2018 20:45:40:984     2         Missed      
19         Spot_2         2729                           2732          04/29/2018 22:01:39:984     04/29/2018 22:01:39:984     2         Missed      
20         Spot_2         2853                           2855          04/29/2018 22:09:38:984     04/29/2018 22:09:38:984     1         Missed      
21         spot_5         1605                           1608          04/29/2018 00:44:39:984     04/29/2018 00:44:39:984     2         Missed      
22         spot_5         1942                           1944          04/29/2018 01:10:38:984     04/29/2018 01:10:38:984     1         Missed      
23         spot_5         2620                           2623          04/29/2018 02:01:42:984     04/29/2018 02:02:38:984     2         Missed      
24         spot_5         3739                           3741          04/29/2018 03:26:38:984     04/29/2018 03:26:38:984     1         Missed      
25         spot_5         4411                           4414          04/29/2018 04:18:38:984     04/29/2018 04:18:38:984     2         Missed      
26         spot_5         4752                           4754          04/29/2018 04:44:38:984     04/29/2018 04:44:38:984     1         Missed      
27         spot_5         5428                           5431          04/29/2018 05:36:38:984     04/29/2018 05:36:38:984     2         Missed      
28         spot_5         5772                           5774          04/29/2018 06:02:38:984     04/29/2018 06:02:38:984     1         Missed      
29         spot_5         6445                           6448          04/29/2018 06:53:42:984     04/29/2018 06:54:38:984     2         Missed      
30         spot_5         7990                           7993          04/29/2018 08:51:42:984     04/29/2018 08:52:38:984     2         Missed      
31         spot_5         8759                           8762          04/29/2018 09:50:38:984     04/29/2018 09:50:38:984     2         Missed      
32         spot_5         9091                           9093          04/29/2018 10:15:42:984     04/29/2018 10:16:38:984     1         Missed      
33         spot_5         9528                           9531          04/29/2018 10:48:38:984     04/29/2018 10:48:38:984     2         Missed      
34         spot_5         9856                           9858          04/29/2018 11:14:38:984     04/29/2018 11:14:38:984     1         Missed      
35         spot_5         12862                          12864         04/29/2018 15:04:30:984     04/29/2018 15:04:37:984     1         Missed      
36         spot_5         15138                          15584         04/29/2018 17:56:41:984     04/29/2018 18:31:41:984     445       Missed      
37         spot_5         15795                          15797         04/29/2018 18:48:29:984     04/29/2018 18:48:37:984     1         Missed      
38         spot_5         16344                          16347         04/29/2018 19:29:41:984     04/29/2018 19:30:37:984     2         Missed      
39         spot_5         16469                          16471         04/29/2018 19:38:37:984     04/29/2018 19:38:37:984     1         Missed      
40         spot_5         17020                          17023         04/29/2018 20:20:37:984     04/29/2018 20:20:41:984     2         Missed      
41         spot_5         17443                          17445         04/29/2018 20:53:41:984     04/29/2018 20:54:37:984     1         Missed      
42         spot_5         18002                          18005         04/29/2018 21:36:37:984     04/29/2018 21:36:37:984     2         Missed      
43         spot_5         19108                          19110         04/29/2018 23:00:37:984     04/29/2018 23:00:37:984     1         Missed      
44         spot_5         19657                          19660         04/29/2018 23:42:37:984     04/29/2018 23:42:37:984     2         Missed      
45         spot_6         7726                           7729          04/29/2018 00:25:31:984     04/29/2018 00:25:31:984     2         Missed      
46         spot_6         8061                           8063          04/29/2018 00:51:31:984     04/29/2018 00:51:31:984     1         Missed      
47         spot_6         9077                           9079          04/29/2018 02:09:10:984     04/29/2018 02:09:31:984     1         Missed      
48         spot_6         10520                          10523         04/29/2018 03:59:31:984     04/29/2018 03:59:31:984     2         Missed      
49         spot_6         10864                          10866         04/29/2018 04:25:31:984     04/29/2018 04:25:31:984     1         Missed      
50         spot_6         11537                          11540         04/29/2018 05:17:10:984     04/29/2018 05:17:31:984     2         Missed      
51         spot_6         12563                          12566         04/29/2018 06:35:31:984     04/29/2018 06:35:31:984     2         Missed      
52         spot_6         12898                          12900         04/29/2018 07:01:10:984     04/29/2018 07:01:31:984     1         Missed      
53         spot_6         13600                          13603         04/29/2018 07:53:31:984     04/29/2018 07:53:31:984     2         Missed      
54         spot_6         13840                          13843         04/29/2018 08:13:10:984     04/29/2018 08:13:31:984     2         Missed      
55         spot_6         14443                          14445         04/29/2018 08:59:10:984     04/29/2018 08:59:31:984     1         Missed      
56         spot_6         14880                          14883         04/29/2018 09:31:31:984     04/29/2018 09:31:31:984     2         Missed      
57         spot_6         15209                          15211         04/29/2018 09:57:31:984     04/29/2018 09:57:31:984     1         Missed      
58         spot_6         15974                          15976         04/29/2018 10:55:31:984     04/29/2018 10:55:31:984     1         Missed      
59         SPOT_8         4304                           4306          04/29/2018 00:31:00:984     04/29/2018 00:31:00:984     1         Missed      
60         SPOT_8         4977                           4980          04/29/2018 01:23:00:984     04/29/2018 01:23:00:984     2         Missed      
