DUPLICATION REPORT
Report Taken on : 11/Jun/18 15:57:50
From  : 11/Jun/18  00:20:06
To  : 11/Jun/18  14:50:31 
SlNo     AT STATION      TIME                    DUPLICATION %          
1             spot2      06/11/2018 00:20:06     00.000                 
2             spot2      06/11/2018 00:40:06     00.000                 
3             spot2      06/11/2018 01:00:06     00.000                 
4             spot2      06/11/2018 01:20:06     00.000                 
5             spot2      06/11/2018 01:40:06     00.000                 
6             spot2      06/11/2018 02:00:06     00.000                 
7             spot2      06/11/2018 02:20:06     00.000                 
8             spot2      06/11/2018 02:40:06     00.000                 
9             spot2      06/11/2018 03:00:06     00.000                 
10            spot2      06/11/2018 03:20:06     00.000                 
11            spot2      06/11/2018 03:40:06     00.000                 
12            spot2      06/11/2018 04:00:06     00.000                 
13            spot2      06/11/2018 04:20:06     00.000                 
14            spot2      06/11/2018 04:40:06     00.000                 
15            spot2      06/11/2018 05:00:06     00.000                 
16            spot2      06/11/2018 05:20:06     00.000                 
17            spot2      06/11/2018 05:40:06     00.000                 
18            spot2      06/11/2018 06:00:06     00.000                 
19            spot2      06/11/2018 06:20:06     00.000                 
20            spot2      06/11/2018 06:40:06     00.000                 
21            spot2      06/11/2018 07:00:06     00.000                 
22            spot2      06/11/2018 07:20:06     00.000                 
23            spot2      06/11/2018 07:40:06     00.000                 
24            spot2      06/11/2018 08:00:06     00.000                 
25            spot2      06/11/2018 08:20:06     00.000                 
26            spot2      06/11/2018 08:40:06     00.000                 
27            spot2      06/11/2018 09:00:06     00.000                 
28            spot2      06/11/2018 09:20:06     00.000                 
29            spot2      06/11/2018 09:40:06     00.000                 
30            spot2      06/11/2018 10:00:06     00.000                 
31            spot2      06/11/2018 10:20:06     00.000                 
32            spot2      06/11/2018 10:40:06     06.858                 
33            spot2      06/11/2018 11:00:06     20.949                 
34            spot2      06/11/2018 11:20:06     20.319                 
35            spot2      06/11/2018 11:40:06     22.134                 
36            spot2      06/11/2018 12:00:06     25.000                 
37            spot3      06/11/2018 00:20:06     00.000                 
38            spot3      06/11/2018 00:40:06     00.000                 
39            spot3      06/11/2018 01:00:06     00.000                 
40            spot3      06/11/2018 01:20:06     00.000                 
41            spot3      06/11/2018 01:40:06     00.000                 
42            spot3      06/11/2018 02:00:06     00.000                 
43            spot3      06/11/2018 02:20:06     00.000                 
44            spot3      06/11/2018 02:40:06     00.000                 
45            spot3      06/11/2018 03:00:06     00.000                 
46            spot3      06/11/2018 03:20:06     00.000                 
47            spot3      06/11/2018 03:40:06     01.676                 
48            spot3      06/11/2018 04:00:06     00.000                 
49            spot3      06/11/2018 04:20:06     00.000                 
50            spot3      06/11/2018 04:40:06     00.000                 
51            spot3      06/11/2018 05:00:06     00.000                 
52            spot3      06/11/2018 05:20:06     00.000                 
53            spot3      06/11/2018 05:40:06     00.000                 
54            spot3      06/11/2018 06:00:06     00.000                 
55            spot3      06/11/2018 06:20:06     00.000                 
56            spot3      06/11/2018 06:40:06     00.000                 
57            spot3      06/11/2018 07:00:06     00.000                 
58            spot3      06/11/2018 07:20:06     00.000                 
59            spot3      06/11/2018 07:40:06     00.000                 
60            spot3      06/11/2018 08:00:06     00.000                 
61            spot3      06/11/2018 08:20:06     00.000                 
62            spot3      06/11/2018 08:40:06     00.000                 
63            spot3      06/11/2018 09:00:06     00.000                 
64            spot3      06/11/2018 09:20:06     00.000                 
65            spot3      06/11/2018 09:40:06     00.629                 
66            spot3      06/11/2018 10:00:06     106.763                
67            spot3      06/11/2018 10:20:06     199.175                
68            spot3      06/11/2018 10:40:06     00.000                 
69            spot3      06/11/2018 11:00:06     00.000                 
70            spot3      06/11/2018 11:20:06     20.226                 
71            spot3      06/11/2018 11:40:06     20.433                 
72            spot3      06/11/2018 12:00:06     16.374                 
73            Spot6      06/11/2018 00:20:06     00.000                 
74            Spot6      06/11/2018 00:40:06     00.000                 
75            Spot6      06/11/2018 01:00:06     00.000                 
76            Spot6      06/11/2018 01:20:06     00.000                 
77            Spot6      06/11/2018 01:40:06     00.000                 
78            Spot6      06/11/2018 02:00:06     00.000                 
79            Spot6      06/11/2018 02:20:06     00.000                 
80            Spot6      06/11/2018 02:40:06     00.000                 
81            Spot6      06/11/2018 03:00:06     00.000                 
82            Spot6      06/11/2018 03:20:06     00.000                 
83            Spot6      06/11/2018 03:40:06     00.000                 
84            Spot6      06/11/2018 04:00:06     00.000                 
85            Spot6      06/11/2018 04:20:06     00.000                 
86            Spot6      06/11/2018 04:40:06     00.000                 
87            Spot6      06/11/2018 05:00:06     00.000                 
88            Spot6      06/11/2018 05:20:06     00.000                 
89            Spot6      06/11/2018 05:40:06     00.000                 
90            Spot6      06/11/2018 06:00:06     00.000                 
91            Spot6      06/11/2018 06:20:06     00.000                 
92            Spot6      06/11/2018 06:40:06     00.000                 
93            Spot6      06/11/2018 07:00:06     00.000                 
94            Spot6      06/11/2018 07:20:06     00.000                 
95            Spot6      06/11/2018 07:40:06     00.000                 
96            Spot6      06/11/2018 08:00:06     00.000                 
97            Spot6      06/11/2018 08:20:06     00.000                 
98            Spot6      06/11/2018 08:40:06     00.000                 
99            Spot6      06/11/2018 09:00:06     00.000                 
100           Spot6      06/11/2018 09:20:06     00.000                 
101           Spot6      06/11/2018 09:40:06     00.000                 
102           Spot6      06/11/2018 10:00:06     00.000                 
103           Spot6      06/11/2018 10:20:06     00.000                 
104           Spot6      06/11/2018 10:40:06     03.911                 
105           Spot6      06/11/2018 11:00:06     13.834                 
106           Spot6      06/11/2018 11:20:06     08.765                 
107           Spot6      06/11/2018 11:40:06     09.524                 
108           Spot6      06/11/2018 12:00:06     10.277                 
109           Spot10     06/11/2018 00:20:06     00.000                 
110           Spot10     06/11/2018 00:40:06     00.000                 
111           Spot10     06/11/2018 01:00:06     00.000                 
112           Spot10     06/11/2018 01:20:06     00.000                 
113           Spot10     06/11/2018 01:40:06     00.000                 
114           Spot10     06/11/2018 02:00:06     00.000                 
115           Spot10     06/11/2018 02:20:06     00.000                 
116           Spot10     06/11/2018 02:40:06     00.000                 
117           Spot10     06/11/2018 03:00:06     00.000                 
118           Spot10     06/11/2018 03:20:06     00.000                 
119           Spot10     06/11/2018 03:40:06     00.000                 
120           Spot10     06/11/2018 04:00:06     00.000                 
121           Spot10     06/11/2018 04:20:06     00.000                 
122           Spot10     06/11/2018 04:40:06     00.000                 
123           Spot10     06/11/2018 05:00:06     00.000                 
124           Spot10     06/11/2018 05:20:06     00.000                 
125           Spot10     06/11/2018 05:40:06     00.000                 
126           Spot10     06/11/2018 06:00:06     00.000                 
127           Spot10     06/11/2018 06:20:06     00.000                 
128           Spot10     06/11/2018 06:40:06     00.000                 
129           Spot10     06/11/2018 07:00:06     00.000                 
130           Spot10     06/11/2018 07:20:06     00.000                 
131           Spot10     06/11/2018 07:40:06     00.000                 
132           Spot10     06/11/2018 08:00:06     00.000                 
133           Spot10     06/11/2018 08:20:06     00.000                 
134           Spot10     06/11/2018 08:40:06     00.000                 
135           Spot10     06/11/2018 09:00:06     00.000                 
136           Spot10     06/11/2018 09:20:06     00.000                 
137           Spot10     06/11/2018 09:40:06     00.000                 
138           Spot10     06/11/2018 10:00:06     00.000                 
139           Spot10     06/11/2018 10:20:06     00.000                 
140           Spot10     06/11/2018 10:40:06     12.043                 
141           Spot10     06/11/2018 11:00:06     41.633                 
142           Spot10     06/11/2018 11:20:06     35.628                 
143           Spot10     06/11/2018 11:40:06     36.396                 
144           Spot10     06/11/2018 12:00:06     33.827                 
