DUPLICATION REPORT
Report Taken on : 09/Jun/18 16:06:08
From  : 09/Jun/18  00:20:10
To  : 09/Jun/18  16:00:11 
SlNo     AT STATION      TIME                    DUPLICATION %          
1             spot2      06/09/2018 00:20:10     00.000                 
2             spot2      06/09/2018 00:40:10     00.000                 
3             spot2      06/09/2018 01:00:10     00.000                 
4             spot2      06/09/2018 01:20:10     00.000                 
5             spot2      06/09/2018 01:40:10     00.000                 
6             spot2      06/09/2018 02:00:10     00.000                 
7             spot2      06/09/2018 02:20:10     00.000                 
8             spot2      06/09/2018 02:40:10     00.000                 
9             spot2      06/09/2018 03:00:10     00.000                 
10            spot2      06/09/2018 03:20:10     00.000                 
11            spot2      06/09/2018 03:40:11     00.000                 
12            spot2      06/09/2018 04:00:10     00.000                 
13            spot2      06/09/2018 04:20:10     00.000                 
14            spot2      06/09/2018 04:40:10     00.000                 
15            spot2      06/09/2018 05:00:10     00.000                 
16            spot2      06/09/2018 05:20:10     00.000                 
17            spot2      06/09/2018 05:40:11     00.000                 
18            spot2      06/09/2018 06:00:10     00.000                 
19            spot2      06/09/2018 06:20:10     00.000                 
20            spot2      06/09/2018 06:40:10     00.000                 
21            spot2      06/09/2018 07:00:10     00.000                 
22            spot2      06/09/2018 07:20:10     00.000                 
23            spot2      06/09/2018 07:40:10     00.000                 
24            spot2      06/09/2018 08:00:10     00.000                 
25            spot2      06/09/2018 08:20:10     00.000                 
26            spot2      06/09/2018 08:40:10     00.000                 
27            spot2      06/09/2018 09:00:10     00.000                 
28            spot2      06/09/2018 09:20:10     00.000                 
29            spot2      06/09/2018 09:40:10     03.448                 
30            spot2      06/09/2018 10:00:10     22.134                 
31            spot2      06/09/2018 10:20:10     21.429                 
32            spot2      06/09/2018 10:40:10     20.238                 
33            spot2      06/09/2018 11:00:10     22.134                 
34            spot2      06/09/2018 11:20:10     21.825                 
35            spot2      06/09/2018 11:40:10     21.032                 
36            spot2      06/09/2018 15:00:11     35.238                 
37            spot2      06/09/2018 15:20:10     00.000                 
38            spot2      06/09/2018 15:40:10     00.000                 
39            spot3      06/09/2018 00:20:10     00.000                 
40            spot3      06/09/2018 00:40:10     00.000                 
41            spot3      06/09/2018 01:00:10     00.000                 
42            spot3      06/09/2018 01:20:10     00.000                 
43            spot3      06/09/2018 01:40:10     00.000                 
44            spot3      06/09/2018 02:00:10     00.000                 
45            spot3      06/09/2018 02:20:10     00.000                 
46            spot3      06/09/2018 02:40:10     00.000                 
47            spot3      06/09/2018 03:00:10     00.000                 
48            spot3      06/09/2018 03:20:10     00.000                 
49            spot3      06/09/2018 03:40:11     00.000                 
50            spot3      06/09/2018 04:00:10     00.000                 
51            spot3      06/09/2018 04:20:10     00.000                 
52            spot3      06/09/2018 04:40:10     00.000                 
53            spot3      06/09/2018 05:00:10     00.000                 
54            spot3      06/09/2018 05:20:10     00.000                 
55            spot3      06/09/2018 05:40:11     00.000                 
