DUPLICATION REPORT
Report Taken on : 08/Jun/18 17:13:41
From  : 08/Jun/18  01:20:03
To  : 08/Jun/18  17:07:47 
SlNo     AT STATION      TIME                    DUPLICATION %          
1             spot2      06/08/2018 01:20:03     24.900                 
2             spot2      06/08/2018 02:00:03     23.016                 
3             spot2      06/08/2018 02:20:03     22.400                 
4             spot2      06/08/2018 02:40:03     24.390                 
5             spot2      06/08/2018 03:00:03     27.092                 
6             spot2      06/08/2018 03:20:03     22.709                 
7             spot2      06/08/2018 04:00:03     21.200                 
8             spot2      06/08/2018 11:00:03     24.400                 
9             spot2      06/08/2018 11:07:14     27.500                 
10            spot2      06/08/2018 11:27:47     22.426                 
11            spot2      06/08/2018 11:47:47     25.197                 
12            spot2      06/08/2018 12:07:47     21.116                 
13            spot2      06/08/2018 12:27:47     22.311                 
14            spot2      06/08/2018 12:47:47     22.441                 
15            spot2      06/08/2018 13:07:47     22.917                 
16            spot2      06/08/2018 13:27:47     21.825                 
17            spot2      06/08/2018 13:47:47     23.715                 
18            spot2      06/08/2018 14:07:47     21.825                 
19            spot2      06/08/2018 14:27:47     20.238                 
20            spot2      06/08/2018 14:47:47     30.040                 
21            spot2      06/08/2018 15:07:47     20.000                 
22            spot2      06/08/2018 15:27:47     00.000                 
23            spot2      06/08/2018 15:47:47     00.000                 
24            spot2      06/08/2018 16:07:47     00.000                 
25            spot2      06/08/2018 16:27:47     00.000                 
26            spot3      06/08/2018 01:20:03     00.000                 
27            spot3      06/08/2018 02:00:03     00.000                 
28            spot3      06/08/2018 02:20:03     00.000                 
29            spot3      06/08/2018 02:40:03     00.000                 
30            spot3      06/08/2018 03:00:03     00.000                 
31            spot3      06/08/2018 03:20:03     00.000                 
32            spot3      06/08/2018 04:00:03     00.000                 
33            spot3      06/08/2018 11:00:03     00.000                 
34            spot3      06/08/2018 11:07:14     00.000                 
35            spot3      06/08/2018 11:27:47     81.425                 
36            spot3      06/08/2018 11:47:47     41.283                 
37            spot3      06/08/2018 12:07:47     50.753                 
38            spot3      06/08/2018 12:27:47     50.651                 
39            spot3      06/08/2018 12:47:47     74.362                 
40            spot3      06/08/2018 13:07:47     195.565                
41            spot3      06/08/2018 13:27:47     236.667                
42            spot3      06/08/2018 13:47:47     231.990                
43            spot3      06/08/2018 14:07:47     229.529                
44            spot3      06/08/2018 14:27:47     228.141                
45            spot3      06/08/2018 14:47:47     232.316                
46            spot3      06/08/2018 15:07:47     226.923                
47            spot3      06/08/2018 15:27:47     00.000                 
48            spot3      06/08/2018 15:47:47     00.000                 
49            spot3      06/08/2018 16:07:47     00.000                 
50            spot3      06/08/2018 16:27:47     00.000                 
51            Spot6      06/08/2018 01:20:03     31.351                 
52            Spot6      06/08/2018 02:00:03     34.934                 
53            Spot6      06/08/2018 02:20:03     33.477                 
54            Spot6      06/08/2018 02:40:03     40.036                 
55            Spot6      06/08/2018 03:00:03     39.688                 
56            Spot6      06/08/2018 03:20:03     36.029                 
57            Spot6      06/08/2018 04:00:03     35.807                 
58            Spot6      06/08/2018 11:00:03     17.603                 
59            Spot6      06/08/2018 11:07:14     09.901                 
60            Spot6      06/08/2018 11:27:47     10.400                 
61            Spot6      06/08/2018 11:47:47     09.091                 
62            Spot6      06/08/2018 12:07:47     09.921                 
63            Spot6      06/08/2018 12:27:47     10.081                 
64            Spot6      06/08/2018 12:47:47     11.462                 
65            Spot6      06/08/2018 13:07:47     11.905                 
66            Spot6      06/08/2018 13:27:47     10.317                 
67            Spot6      06/08/2018 13:47:47     10.504                 
68            Spot6      06/08/2018 14:07:47     10.277                 
69            Spot6      06/08/2018 14:27:47     10.277                 
70            Spot6      06/08/2018 14:47:47     09.200                 
71            Spot6      06/08/2018 15:07:47     11.765                 
72            Spot6      06/08/2018 15:27:47     00.000                 
73            Spot6      06/08/2018 15:47:47     00.000                 
74            Spot6      06/08/2018 16:07:47     00.000                 
75            Spot6      06/08/2018 16:27:47     00.000                 
76            Spot10     06/08/2018 01:20:03     00.000                 
77            Spot10     06/08/2018 02:00:03     00.000                 
78            Spot10     06/08/2018 02:20:03     00.000                 
79            Spot10     06/08/2018 02:40:03     00.000                 
80            Spot10     06/08/2018 03:00:03     00.000                 
81            Spot10     06/08/2018 03:20:03     00.000                 
82            Spot10     06/08/2018 04:00:03     00.000                 
83            Spot10     06/08/2018 11:00:03     08.310                 
84            Spot10     06/08/2018 11:07:14     34.006                 
85            Spot10     06/08/2018 11:27:47     23.839                 
86            Spot10     06/08/2018 11:47:47     27.139                 
87            Spot10     06/08/2018 12:07:47     31.127                 
88            Spot10     06/08/2018 12:27:47     28.335                 
89            Spot10     06/08/2018 12:47:47     31.242                 
90            Spot10     06/08/2018 13:07:47     19.108                 
91            Spot10     06/08/2018 13:27:47     16.342                 
92            Spot10     06/08/2018 13:47:47     18.147                 
93            Spot10     06/08/2018 14:07:47     14.885                 
94            Spot10     06/08/2018 14:27:47     11.877                 
95            Spot10     06/08/2018 14:47:47     15.830                 
96            Spot10     06/08/2018 15:07:47     29.032                 
97            Spot10     06/08/2018 15:27:47     00.000                 
98            Spot10     06/08/2018 15:47:47     00.000                 
99            Spot10     06/08/2018 16:07:47     00.000                 
100           Spot10     06/08/2018 16:27:47     00.000                 
