DUPLICATION REPORT
Report Taken on : 08/Jun/18 15:39:44
From  : 08/Jun/18  01:20:03
To  : 08/Jun/18  15:27:47 
SlNo     AT STATION      TIME                    DUPLICATION %          
1             spot2      06/08/2018 01:20:03     24.900                 
2             spot2      06/08/2018 02:00:03     23.016                 
3             spot2      06/08/2018 02:20:03     22.400                 
4             spot2      06/08/2018 02:40:03     24.390                 
5             spot2      06/08/2018 03:00:03     27.092                 
6             spot2      06/08/2018 03:20:03     22.709                 
7             spot2      06/08/2018 04:00:03     21.200                 
8             spot2      06/08/2018 11:00:03     24.400                 
9             spot2      06/08/2018 11:07:14     27.500                 
10            spot2      06/08/2018 11:27:47     22.426                 
11            spot2      06/08/2018 11:47:47     25.197                 
12            spot2      06/08/2018 12:07:47     21.116                 
13            spot2      06/08/2018 12:27:47     22.311                 
14            spot2      06/08/2018 12:47:47     22.441                 
15            spot2      06/08/2018 13:07:47     22.917                 
16            spot2      06/08/2018 13:27:47     21.825                 
17            spot2      06/08/2018 13:47:47     23.715                 
18            spot2      06/08/2018 14:07:47     21.825                 
19            spot2      06/08/2018 14:27:47     20.238                 
20            spot2      06/08/2018 14:47:47     30.040                 
21            spot3      06/08/2018 01:20:03     00.000                 
22            spot3      06/08/2018 02:00:03     00.000                 
23            spot3      06/08/2018 02:20:03     00.000                 
24            spot3      06/08/2018 02:40:03     00.000                 
25            spot3      06/08/2018 03:00:03     00.000                 
26            spot3      06/08/2018 03:20:03     00.000                 
27            spot3      06/08/2018 04:00:03     00.000                 
28            spot3      06/08/2018 11:00:03     00.000                 
29            spot3      06/08/2018 11:07:14     00.000                 
30            spot3      06/08/2018 11:27:47     81.425                 
31            spot3      06/08/2018 11:47:47     41.283                 
32            spot3      06/08/2018 12:07:47     50.753                 
33            spot3      06/08/2018 12:27:47     50.651                 
34            spot3      06/08/2018 12:47:47     74.362                 
35            spot3      06/08/2018 13:07:47     195.565                
36            spot3      06/08/2018 13:27:47     236.667                
37            spot3      06/08/2018 13:47:47     231.990                
38            spot3      06/08/2018 14:07:47     229.529                
39            spot3      06/08/2018 14:27:47     228.141                
40            spot3      06/08/2018 14:47:47     232.316                
41            Spot6      06/08/2018 01:20:03     31.351                 
42            Spot6      06/08/2018 02:00:03     34.934                 
43            Spot6      06/08/2018 02:20:03     33.477                 
44            Spot6      06/08/2018 02:40:03     40.036                 
45            Spot6      06/08/2018 03:00:03     39.688                 
46            Spot6      06/08/2018 03:20:03     36.029                 
47            Spot6      06/08/2018 04:00:03     35.807                 
48            Spot6      06/08/2018 11:00:03     17.603                 
49            Spot6      06/08/2018 11:07:14     09.901                 
50            Spot6      06/08/2018 11:27:47     10.400                 
51            Spot6      06/08/2018 11:47:47     09.091                 
52            Spot6      06/08/2018 12:07:47     09.921                 
53            Spot6      06/08/2018 12:27:47     10.081                 
54            Spot6      06/08/2018 12:47:47     11.462                 
55            Spot6      06/08/2018 13:07:47     11.905                 
56            Spot6      06/08/2018 13:27:47     10.317                 
57            Spot6      06/08/2018 13:47:47     10.504                 
58            Spot6      06/08/2018 14:07:47     10.277                 
59            Spot6      06/08/2018 14:27:47     10.277                 
60            Spot6      06/08/2018 14:47:47     09.200                 
61            Spot10     06/08/2018 01:20:03     00.000                 
62            Spot10     06/08/2018 02:00:03     00.000                 
63            Spot10     06/08/2018 02:20:03     00.000                 
64            Spot10     06/08/2018 02:40:03     00.000                 
65            Spot10     06/08/2018 03:00:03     00.000                 
66            Spot10     06/08/2018 03:20:03     00.000                 
67            Spot10     06/08/2018 04:00:03     00.000                 
68            Spot10     06/08/2018 11:00:03     08.310                 
69            Spot10     06/08/2018 11:07:14     34.006                 
70            Spot10     06/08/2018 11:27:47     23.839                 
71            Spot10     06/08/2018 11:47:47     27.139                 
72            Spot10     06/08/2018 12:07:47     31.127                 
73            Spot10     06/08/2018 12:27:47     28.335                 
74            Spot10     06/08/2018 12:47:47     31.242                 
75            Spot10     06/08/2018 13:07:47     19.108                 
76            Spot10     06/08/2018 13:27:47     16.342                 
77            Spot10     06/08/2018 13:47:47     18.147                 
78            Spot10     06/08/2018 14:07:47     14.885                 
79            Spot10     06/08/2018 14:27:47     11.877                 
80            Spot10     06/08/2018 14:47:47     15.830                 
