SEQUENCE MISS REPORT FOR SPOT_8
Report Taken on : 29/Apr/18 10:36:35
From: 28/Apr/18  19:00:00
To: 28/Apr/18  23:59:59 
SlNo     FROM SEQ.NO                    TO SEQ.NO     FROM TIME                   TO TIME                     COUNT     REMARKS     
1        20513                          0             04/28/2018 19:01:04:984     04/28/2018 19:01:38:000     ~~~       DlReset     
2        180                            182           04/28/2018 19:15:00:984     04/28/2018 19:15:00:984     1         Missed      
3        420                            422           04/28/2018 19:34:01:984     04/28/2018 19:35:00:984     1         Missed      
4        1640                           1643          04/28/2018 21:07:00:984     04/28/2018 21:07:00:984     2         Missed      
5        1894                           1897          04/28/2018 21:27:00:984     04/28/2018 21:27:00:984     2         Missed      
6        2501                           2503          04/28/2018 22:13:00:984     04/28/2018 22:13:00:984     1         Missed      
7        2755                           2757          04/28/2018 22:33:00:984     04/28/2018 22:33:00:984     1         Missed      
8        3023                           3025          04/28/2018 22:53:00:984     04/28/2018 22:53:00:984     1         Missed      
9        3274                           3276          04/28/2018 23:13:00:984     04/28/2018 23:13:00:984     1         Missed      
                                                                                                                                    
         No Of Times  Missed :          8             Total Missed:               10                                                
