SEQUENCE MISS REPORT FOR spot3
Report Taken on : 11/Jun/18 15:58:14
From: 11/Jun/18  00:20:06
To: 11/Jun/18  14:50:31 
SlNo     FROM SEQ.NO                    TO SEQ.NO     FROM TIME                   TO TIME                     COUNT     REMARKS     
1        6537                           6682          06/11/2018 05:03:49:000     06/11/2018 05:06:14:000     144       Missed      
2        6682                           6710          06/11/2018 05:06:14:000     06/11/2018 05:06:42:000     27        Missed      
3        6886                           0             06/11/2018 05:09:38:000     06/11/2018 11:02:00:000     58648     Missed      
4        4                              6             06/11/2018 11:02:04:000     06/11/2018 11:02:06:000     1         Missed      
5        18                             20            06/11/2018 11:02:18:000     06/11/2018 11:02:20:000     1         Missed      
6        1077                           29105         06/11/2018 11:19:57:000     06/11/2018 11:19:57:000     28027     Missed      
7        29105                          1078          06/11/2018 11:19:57:000     06/11/2018 11:19:58:000     37507     Missed      
8        1078                           29106         06/11/2018 11:19:58:000     06/11/2018 11:19:58:000     28027     Missed      
9        29106                          1079          06/11/2018 11:19:58:000     06/11/2018 11:19:59:000     37507     Missed      
10       1079                           29107         06/11/2018 11:19:59:000     06/11/2018 11:19:59:000     28027     Missed      
11       29107                          1080          06/11/2018 11:19:59:000     06/11/2018 11:20:00:000     37507     Missed      
12       1083                           29111         06/11/2018 11:20:03:000     06/11/2018 11:20:03:000     28027     Missed      
13       29111                          1084          06/11/2018 11:20:03:000     06/11/2018 11:20:04:000     37507     Missed      
14       1084                           29112         06/11/2018 11:20:04:000     06/11/2018 11:20:04:000     28027     Missed      
15       29112                          1085          06/11/2018 11:20:04:000     06/11/2018 11:20:05:000     37507     Missed      
16       1085                           29113         06/11/2018 11:20:05:000     06/11/2018 11:20:05:000     28027     Missed      
17       29113                          1086          06/11/2018 11:20:05:000     06/11/2018 11:20:06:000     37507     Missed      
18       1086                           29114         06/11/2018 11:20:06:000     06/11/2018 11:20:06:000     28027     Missed      
19       29114                          1087          06/11/2018 11:20:06:000     06/11/2018 11:20:07:000     37507     Missed      
20       1087                           29115         06/11/2018 11:20:07:000     06/11/2018 11:20:07:000     28027     Missed      
21       29115                          1088          06/11/2018 11:20:07:000     06/11/2018 11:20:08:000     37507     Missed      
22       1088                           29116         06/11/2018 11:20:08:000     06/11/2018 11:20:08:000     28027     Missed      
23       29116                          1089          06/11/2018 11:20:08:000     06/11/2018 11:20:09:000     37507     Missed      
24       1089                           29117         06/11/2018 11:20:09:000     06/11/2018 11:20:09:000     28027     Missed      
25       29117                          1090          06/11/2018 11:20:09:000     06/11/2018 11:20:10:000     37507     Missed      
26       1090                           29118         06/11/2018 11:20:10:000     06/11/2018 11:20:10:000     28027     Missed      
27       29118                          1091          06/11/2018 11:20:10:000     06/11/2018 11:20:11:000     37507     Missed      
28       1091                           29119         06/11/2018 11:20:11:000     06/11/2018 11:20:11:000     28027     Missed      
29       29119                          1092          06/11/2018 11:20:11:000     06/11/2018 11:20:12:000     37507     Missed      
30       1092                           29120         06/11/2018 11:20:12:000     06/11/2018 11:20:12:000     28027     Missed      
31       29120                          1093          06/11/2018 11:20:12:000     06/11/2018 11:20:13:000     37507     Missed      
32       1093                           29121         06/11/2018 11:20:13:000     06/11/2018 11:20:13:000     28027     Missed      
33       29121                          1094          06/11/2018 11:20:13:000     06/11/2018 11:20:14:000     37507     Missed      
34       1094                           29122         06/11/2018 11:20:14:000     06/11/2018 11:20:14:000     28027     Missed      
35       29122                          1095          06/11/2018 11:20:14:000     06/11/2018 11:20:15:000     37507     Missed      
36       1095                           29123         06/11/2018 11:20:15:000     06/11/2018 11:20:15:000     28027     Missed      
37       29123                          1096          06/11/2018 11:20:15:000     06/11/2018 11:20:16:000     37507     Missed      
38       1096                           29124         06/11/2018 11:20:16:000     06/11/2018 11:20:16:000     28027     Missed      
39       29124                          1097          06/11/2018 11:20:16:000     06/11/2018 11:20:17:000     37507     Missed      
40       1097                           29125         06/11/2018 11:20:17:000     06/11/2018 11:20:17:000     28027     Missed      
41       29125                          1098          06/11/2018 11:20:17:000     06/11/2018 11:20:18:000     37507     Missed      
42       1098                           29126         06/11/2018 11:20:18:000     06/11/2018 11:20:18:000     28027     Missed      
43       29126                          1099          06/11/2018 11:20:18:000     06/11/2018 11:20:19:000     37507     Missed      
44       1099                           29127         06/11/2018 11:20:19:000     06/11/2018 11:20:19:000     28027     Missed      
45       29127                          1100          06/11/2018 11:20:19:000     06/11/2018 11:20:20:000     37507     Missed      
46       1100                           29128         06/11/2018 11:20:20:000     06/11/2018 11:20:20:000     28027     Missed      
47       29128                          1101          06/11/2018 11:20:20:000     06/11/2018 11:20:21:000     37507     Missed      
48       1101                           29129         06/11/2018 11:20:21:000     06/11/2018 11:20:21:000     28027     Missed      
49       29129                          1102          06/11/2018 11:20:21:000     06/11/2018 11:20:22:000     37507     Missed      
50       1102                           29130         06/11/2018 11:20:22:000     06/11/2018 11:20:22:000     28027     Missed      
51       29130                          1103          06/11/2018 11:20:22:000     06/11/2018 11:20:23:000     37507     Missed      
52       1103                           29131         06/11/2018 11:20:23:000     06/11/2018 11:20:23:000     28027     Missed      
53       29131                          1104          06/11/2018 11:20:23:000     06/11/2018 11:20:24:000     37507     Missed      
54       1104                           29132         06/11/2018 11:20:24:000     06/11/2018 11:20:24:000     28027     Missed      
55       29132                          1105          06/11/2018 11:20:24:000     06/11/2018 11:20:25:000     37507     Missed      
56       1105                           29133         06/11/2018 11:20:25:000     06/11/2018 11:20:25:000     28027     Missed      
57       29133                          1106          06/11/2018 11:20:25:000     06/11/2018 11:20:26:000     37507     Missed      
58       1106                           29134         06/11/2018 11:20:26:000     06/11/2018 11:20:26:000     28027     Missed      
59       29134                          1107          06/11/2018 11:20:26:000     06/11/2018 11:20:27:000     37507     Missed      
60       1107                           29135         06/11/2018 11:20:27:000     06/11/2018 11:20:27:000     28027     Missed      
61       29135                          1108          06/11/2018 11:20:27:000     06/11/2018 11:20:28:000     37507     Missed      
62       1108                           29136         06/11/2018 11:20:28:000     06/11/2018 11:20:28:000     28027     Missed      
63       29136                          1109          06/11/2018 11:20:28:000     06/11/2018 11:20:29:000     37507     Missed      
64       1109                           29137         06/11/2018 11:20:29:000     06/11/2018 11:20:29:000     28027     Missed      
65       29137                          1110          06/11/2018 11:20:29:000     06/11/2018 11:20:30:000     37507     Missed      
66       1110                           29138         06/11/2018 11:20:30:000     06/11/2018 11:20:30:000     28027     Missed      
67       29138                          1111          06/11/2018 11:20:30:000     06/11/2018 11:20:31:000     37507     Missed      
68       1111                           29139         06/11/2018 11:20:31:000     06/11/2018 11:20:31:000     28027     Missed      
69       29139                          1112          06/11/2018 11:20:31:000     06/11/2018 11:20:32:000     37507     Missed      
70       1112                           29140         06/11/2018 11:20:32:000     06/11/2018 11:20:32:000     28027     Missed      
71       29140                          1113          06/11/2018 11:20:32:000     06/11/2018 11:20:33:000     37507     Missed      
72       1113                           29141         06/11/2018 11:20:33:000     06/11/2018 11:20:33:000     28027     Missed      
