SEQUENCE MISS REPORT 
Report Taken on : 08/Jun/18 12:59:08
From: 08/Jun/18  01:20:03
To: 08/Jun/18  12:47:47 
SlNo     STATION NAME     FROM SEQ.NO                    TO SEQ.NO     FROM TIME                   TO TIME                     COUNT     REMARKS     
1          spot2          11614                          11620         06/08/2018 02:25:16:984     06/08/2018 02:25:16:984     5         Missed      
2          spot2          12683                          12685         06/08/2018 03:49:15:984     06/08/2018 03:49:15:984     1         Missed      
3          spot2          13167                          13171         06/08/2018 04:28:28:984     06/08/2018 04:29:14:984     3         Missed      
4          spot2          14547                          16685         06/08/2018 06:18:26:984     06/08/2018 09:09:09:984     2137      Missed      
5          spot2          16694                          16698         06/08/2018 09:09:09:984     06/08/2018 09:09:09:984     3         Missed      
6          spot2          17061                          17063         06/08/2018 09:39:09:984     06/08/2018 09:39:09:984     1         Missed      
7          spot2          17504                          17507         06/08/2018 10:13:08:984     06/08/2018 10:13:34:984     2         Missed      
8          spot2          17961                          17963         06/08/2018 10:49:33:984     06/08/2018 10:50:17:984     1         Missed      
9          spot2          18273                          18275         06/08/2018 11:15:07:984     06/08/2018 11:15:07:984     1         Missed      
10         spot2          19356                          19358         06/08/2018 12:41:06:984     06/08/2018 12:41:06:984     1         Missed      
11         spot3          121                            123           06/08/2018 11:05:21:000     06/08/2018 11:05:23:000     1         Missed      
12         spot3          123                            126           06/08/2018 11:05:23:000     06/08/2018 11:05:26:000     2         Missed      
13         spot3          126                            128           06/08/2018 11:05:26:000     06/08/2018 11:05:28:000     1         Missed      
14         spot3          128                            130           06/08/2018 11:05:28:000     06/08/2018 11:05:30:000     1         Missed      
15         spot3          130                            133           06/08/2018 11:05:30:000     06/08/2018 11:05:33:000     2         Missed      
16         spot3          133                            135           06/08/2018 11:05:33:000     06/08/2018 11:05:35:000     1         Missed      
17         spot3          135                            137           06/08/2018 11:05:35:000     06/08/2018 11:05:37:000     1         Missed      
18         spot3          137                            140           06/08/2018 11:05:37:000     06/08/2018 11:05:40:000     2         Missed      
