DUPLICATION REPORT
Report Taken on : 08/Jun/18 14:31:36
From  : 08/Jun/18  01:20:03
To  : 08/Jun/18  14:27:47 
SlNo     AT STATION      TIME                    DUPLICATION %          
1             spot2      06/08/2018 01:20:03     24.900                 
2             spot2      06/08/2018 02:00:03     23.016                 
3             spot2      06/08/2018 02:20:03     22.400                 
4             spot2      06/08/2018 02:40:03     24.390                 
5             spot2      06/08/2018 03:00:03     27.092                 
6             spot2      06/08/2018 03:20:03     22.709                 
7             spot2      06/08/2018 04:00:03     21.200                 
8             spot2      06/08/2018 11:00:03     24.400                 
9             spot2      06/08/2018 11:07:14     27.500                 
10            spot2      06/08/2018 11:27:47     22.426                 
11            spot2      06/08/2018 11:47:47     25.197                 
12            spot2      06/08/2018 12:07:47     21.116                 
13            spot2      06/08/2018 12:27:47     22.311                 
14            spot2      06/08/2018 12:47:47     22.441                 
15            spot2      06/08/2018 13:07:47     22.917                 
16            spot2      06/08/2018 13:27:47     21.825                 
17            spot2      06/08/2018 13:47:47     23.715                 
18            spot3      06/08/2018 01:20:03     00.000                 
19            spot3      06/08/2018 02:00:03     00.000                 
20            spot3      06/08/2018 02:20:03     00.000                 
21            spot3      06/08/2018 02:40:03     00.000                 
22            spot3      06/08/2018 03:00:03     00.000                 
23            spot3      06/08/2018 03:20:03     00.000                 
24            spot3      06/08/2018 04:00:03     00.000                 
25            spot3      06/08/2018 11:00:03     00.000                 
26            spot3      06/08/2018 11:07:14     00.000                 
27            spot3      06/08/2018 11:27:47     81.425                 
28            spot3      06/08/2018 11:47:47     41.283                 
29            spot3      06/08/2018 12:07:47     50.753                 
30            spot3      06/08/2018 12:27:47     50.651                 
31            spot3      06/08/2018 12:47:47     74.362                 
32            spot3      06/08/2018 13:07:47     195.565                
33            spot3      06/08/2018 13:27:47     236.667                
34            spot3      06/08/2018 13:47:47     231.990                
35            Spot6      06/08/2018 01:20:03     31.351                 
36            Spot6      06/08/2018 02:00:03     34.934                 
37            Spot6      06/08/2018 02:20:03     33.477                 
38            Spot6      06/08/2018 02:40:03     40.036                 
39            Spot6      06/08/2018 03:00:03     39.688                 
40            Spot6      06/08/2018 03:20:03     36.029                 
41            Spot6      06/08/2018 04:00:03     35.807                 
42            Spot6      06/08/2018 11:00:03     17.603                 
43            Spot6      06/08/2018 11:07:14     09.901                 
44            Spot6      06/08/2018 11:27:47     10.400                 
45            Spot6      06/08/2018 11:47:47     09.091                 
46            Spot6      06/08/2018 12:07:47     09.921                 
47            Spot6      06/08/2018 12:27:47     10.081                 
48            Spot6      06/08/2018 12:47:47     11.462                 
49            Spot6      06/08/2018 13:07:47     11.905                 
50            Spot6      06/08/2018 13:27:47     10.317                 
51            Spot6      06/08/2018 13:47:47     10.504                 
52            Spot10     06/08/2018 01:20:03     00.000                 
53            Spot10     06/08/2018 02:00:03     00.000                 
54            Spot10     06/08/2018 02:20:03     00.000                 
55            Spot10     06/08/2018 02:40:03     00.000                 
56            Spot10     06/08/2018 03:00:03     00.000                 
57            Spot10     06/08/2018 03:20:03     00.000                 
58            Spot10     06/08/2018 04:00:03     00.000                 
59            Spot10     06/08/2018 11:00:03     08.310                 
60            Spot10     06/08/2018 11:07:14     34.006                 
61            Spot10     06/08/2018 11:27:47     23.839                 
62            Spot10     06/08/2018 11:47:47     27.139                 
63            Spot10     06/08/2018 12:07:47     31.127                 
64            Spot10     06/08/2018 12:27:47     28.335                 
65            Spot10     06/08/2018 12:47:47     31.242                 
66            Spot10     06/08/2018 13:07:47     19.108                 
67            Spot10     06/08/2018 13:27:47     16.342                 
68            Spot10     06/08/2018 13:47:47     18.147                 
