PACKET INFORMATION OF spot_10
Report Taken on : 03/May/18 09:50:46
From: 02/May/18  08:00:00
To: 03/May/18  08:00:00 
SlNo     PKT.TYPE         PACKET                                                                                                            YEAR     LTIME         DATE&TIME                   SEQNO     
1        DUMMY60          93 FF 00 0A 22 3B A8 35 CC BF 00 60 00 02 06 A1 00 00 00 00 00 00 19 DC                                           2018     674614463     05/03/2018 00:00:50:984     8763      
2        DUMMY60          19 DC 00 0A 22 3C A8 35 CC BF 00 60 00 03 06 A1 00 00 00 00 00 00 DC 57                                           2018     674614463     05/03/2018 00:00:50:984     8764      
3        DUMMY60          DC 57 00 0A 22 3D A8 35 CC BF 00 60 00 04 06 A1 00 00 00 00 00 00 4F E9                                           2018     674614463     05/03/2018 00:00:50:984     8765      
4        DUMMY60          4F E9 00 0A 22 3E A8 35 CC BF 00 60 00 05 06 A1 00 00 00 00 00 00 82 CD                                           2018     674614463     05/03/2018 00:00:50:984     8766      
5        DUMMY60          82 CD 00 0A 22 3F A8 35 CC BF 00 60 00 06 06 A1 00 00 00 00 00 00 2E 9E                                           2018     674614463     05/03/2018 00:00:50:984     8767      
6        DUMMY60          2E 9E 00 0A 22 40 A8 35 CC BF 00 60 00 07 06 A1 00 00 00 00 00 00 B8 5E                                           2018     674614463     05/03/2018 00:00:50:984     8768      
7        DUMMY60          B8 5E 00 0A 22 41 A8 35 CC BF 00 60 00 08 06 A1 00 00 00 00 00 00 66 50                                           2018     674614463     05/03/2018 00:00:50:984     8769      
8        DUMMY60          66 50 00 0A 22 42 A8 35 CC BF 00 60 00 09 06 A1 00 00 00 00 00 00 5F 8E                                           2018     674614463     05/03/2018 00:00:50:984     8770      
9        DUMMY60          5F 8E 00 0A 22 43 A8 35 CC BF 00 60 00 0A 06 A1 00 00 00 00 00 00 36 EF                                           2018     674614463     05/03/2018 00:00:50:984     8771      
10       DUMMY60          36 EF 00 0A 22 44 A8 35 CC BF 00 60 00 0B 06 A1 00 00 00 00 00 00 E0 D5                                           2018     674614463     05/03/2018 00:00:50:984     8772      
11       DUMMY60          E0 D5 00 0A 22 45 A8 35 CC BF 00 60 00 0C 06 A1 00 00 00 00 00 00 18 29                                           2018     674614463     05/03/2018 00:00:50:984     8773      
12       DUMMY60          18 29 00 0A 22 46 A8 35 CC BF 00 60 00 0D 06 A1 00 00 00 00 00 00 22 8A                                           2018     674614463     05/03/2018 00:00:50:984     8774      
13       DUMMY60          22 8A 00 0A 22 47 A8 35 CC BF 00 60 00 0E 06 A1 00 00 00 00 00 00 18 B8                                           2018     674614463     05/03/2018 00:00:50:984     8775      
14       DUMMY60          18 B8 00 0A 22 48 A8 35 CC BF 00 60 00 0F 06 A1 00 00 00 00 00 00 6C 66                                           2018     674614463     05/03/2018 00:00:50:984     8776      
15       DUMMY60          6C 66 00 0A 22 49 A8 35 CC BF 00 60 00 10 06 A1 00 00 00 00 00 00 A2 89                                           2018     674614463     05/03/2018 00:00:50:984     8777      
16       DUMMY60          A2 89 00 0A 22 4A A8 35 CC BF 00 60 00 11 06 A1 00 00 00 00 00 00 D3 C6                                           2018     674614463     05/03/2018 00:00:50:984     8778      
17       DUMMY60          D3 C6 00 0A 22 4B A8 35 CC BF 00 60 00 12 06 A1 00 00 00 00 00 00 5C 89                                           2018     674614463     05/03/2018 00:00:50:984     8779      
18       DUMMY60          5C 89 00 0A 22 4C A8 35 CC BF 00 60 00 13 06 A1 00 00 00 00 00 00 ED 9B                                           2018     674614463     05/03/2018 00:00:50:984     8780      
19       DUMMY60          ED 9B 00 0A 22 4D A8 35 CC BF 00 60 00 14 06 A1 00 00 00 00 00 00 79 74                                           2018     674614463     05/03/2018 00:00:50:984     8781      
20       DUMMY60          79 74 00 0A 22 4E A8 35 CC BF 00 60 00 15 06 A1 00 00 00 00 00 00 E5 34                                           2018     674614463     05/03/2018 00:00:50:984     8782      
21       DUMMY60          E5 34 00 0A 22 4F A8 35 CC BF 00 60 00 16 06 A1 00 00 00 00 00 00 3D D5                                           2018     674614463     05/03/2018 00:00:50:984     8783      
22       DUMMY60          3D D5 00 0A 22 50 A8 35 CC BF 00 60 00 17 06 A1 00 00 00 00 00 00 44 B4                                           2018     674614463     05/03/2018 00:00:50:984     8784      
23       DUMMY60          44 B4 00 0A 22 51 A8 35 CC BF 00 60 00 18 06 A1 00 00 00 00 00 00 3E F3                                           2018     674614463     05/03/2018 00:00:50:984     8785      
24       DUMMY60          3E F3 00 0A 22 52 A8 35 CC BF 00 60 00 19 06 A1 00 00 00 00 00 00 71 A2                                           2018     674614463     05/03/2018 00:00:50:984     8786      
25       DUMMY60          71 A2 00 0A 22 53 A8 35 CD BF 00 60 00 01 06 A1 00 00 00 00 00 00 BA BD                                           2018     674614719     05/03/2018 00:00:54:984     8787      
26       TIMEPACKET       BA BD 00 0A 22 54 A8 35 DC BF 00 05 00 00 00 00 00 00 00 00 00 00 CB 9D                                           2018     674618559     05/03/2018 00:01:54:984     8788      
27       DUMMY60          CB 9D 00 0A 22 55 A8 35 EA BF 00 60 00 02 06 A7 00 00 00 00 00 00 14 B4                                           2018     674622143     05/03/2018 00:02:50:984     8789      
28       DUMMY60          14 B4 00 0A 22 56 A8 35 EA BF 00 60 00 03 06 A7 00 00 00 00 00 00 44 89                                           2018     674622143     05/03/2018 00:02:50:984     8790      
29       DUMMY60          44 89 00 0A 22 57 A8 35 EA BF 00 60 00 04 06 A7 00 00 00 00 00 00 73 91                                           2018     674622143     05/03/2018 00:02:50:984     8791      
30       DUMMY60          73 91 00 0A 22 58 A8 35 EA BF 00 60 00 05 06 A7 00 00 00 00 00 00 EA 75                                           2018     674622143     05/03/2018 00:02:50:984     8792      
31       DUMMY60          EA 75 00 0A 22 59 A8 35 EA BF 00 60 00 06 06 A7 00 00 00 00 00 00 A4 E1                                           2018     674622143     05/03/2018 00:02:50:984     8793      
32       DUMMY60          A4 E1 00 0A 22 5A A8 35 EA BF 00 60 00 07 06 A7 00 00 00 00 00 00 56 76                                           2018     674622143     05/03/2018 00:02:50:984     8794      
33       DUMMY60          56 76 00 0A 22 5B A8 35 EA BF 00 60 00 08 06 A7 00 00 00 00 00 00 0C F5                                           2018     674622143     05/03/2018 00:02:50:984     8795      
34       DUMMY60          0C F5 00 0A 22 5C A8 35 EA BF 00 60 00 09 06 A7 00 00 00 00 00 00 20 A0                                           2018     674622143     05/03/2018 00:02:50:984     8796      
