PACKET INFORMATION OF spot_10
Report Taken on : 30/Apr/18 10:14:26
From: 29/Apr/18  00:00:00
To: 29/Apr/18  23:59:59 
SlNo      PKT.TYPE         PACKET                                                                                                            YEAR     LTIME         DATE&TIME                   SEQNO     
1         DUMMY60          0A D0 00 0A 1F C8 A6 E4 40 3F 00 60 00 02 06 B6 00 00 00 00 00 00 1E B5                                           2018     652492863     04/29/2018 00:00:00:984     8136      
2         DUMMY60          1E B5 00 0A 1F C9 A6 E4 40 3F 00 60 00 03 06 B6 00 00 00 00 00 00 5B F3                                           2018     652492863     04/29/2018 00:00:00:984     8137      
3         DUMMY60          5B F3 00 0A 1F CA A6 E4 40 3F 00 60 00 04 06 B6 00 00 00 00 00 00 03 BD                                           2018     652492863     04/29/2018 00:00:00:984     8138      
4         DUMMY60          03 BD 00 0A 1F CB A6 E4 40 3F 00 60 00 05 06 B6 00 00 00 00 00 00 C6 B5                                           2018     652492863     04/29/2018 00:00:00:984     8139      
5         DUMMY60          C6 B5 00 0A 1F CC A6 E4 40 3F 00 60 00 06 06 B6 00 00 00 00 00 00 F3 7F                                           2018     652492863     04/29/2018 00:00:00:984     8140      
6         DUMMY60          F3 7F 00 0A 1F CD A6 E4 40 3F 00 60 00 07 06 B6 00 00 00 00 00 00 4C ED                                           2018     652492863     04/29/2018 00:00:00:984     8141      
7         DUMMY60          4C ED 00 0A 1F CE A6 E4 40 3F 00 60 00 08 06 B6 00 00 00 00 00 00 C4 87                                           2018     652492863     04/29/2018 00:00:00:984     8142      
8         DUMMY60          C4 87 00 0A 1F CF A6 E4 40 3F 00 60 00 09 06 B6 00 00 00 00 00 00 B9 06                                           2018     652492863     04/29/2018 00:00:00:984     8143      
9         DUMMY60          B9 06 00 0A 1F D0 A6 E4 40 3F 00 60 00 0A 06 B6 00 00 00 00 00 00 0A 6C                                           2018     652492863     04/29/2018 00:00:00:984     8144      
10        DUMMY60          0A 6C 00 0A 1F D1 A6 E4 40 3F 00 60 00 0B 06 B6 00 00 00 00 00 00 48 CD                                           2018     652492863     04/29/2018 00:00:00:984     8145      
11        DUMMY60          48 CD 00 0A 1F D2 A6 E4 40 3F 00 60 00 0C 06 B6 00 00 00 00 00 00 28 0B                                           2018     652492863     04/29/2018 00:00:00:984     8146      
