PACKET INFORMATION OF Spot_1
Report Taken on : 03/May/18 09:42:28
From: 02/May/18  08:00:00
To: 03/May/18  08:00:00 
SlNo     PKT.TYPE         PACKET                                                                                                            YEAR     LTIME         DATE&TIME                   SEQNO     
1        TIMEPACKET       69 4C 00 01 41 C5 A8 35 CE BF 00 05 00 00 00 00 00 00 00 00 00 00 F6 B4                                           2018     674614975     05/03/2018 00:00:58:984     16837     
2        DUMMY60          F6 B4 00 01 41 C6 A8 35 D1 BF 00 60 00 01 0D 68 00 00 00 00 00 00 49 9A                                           2018     674615743     05/03/2018 00:01:10:984     16838     
3        DUMMY60          49 9A 00 01 41 C7 A8 35 D8 7F 00 60 00 02 0D 68 00 00 00 00 00 00 37 09                                           2018     674617471     05/03/2018 00:01:37:984     16839     
4        DUMMY60          37 09 00 01 41 C8 A8 35 D8 7F 00 60 00 03 0D 68 00 00 00 00 00 00 DF 6D                                           2018     674617471     05/03/2018 00:01:37:984     16840     
5        DUMMY60          DF 6D 00 01 41 C9 A8 35 D8 7F 00 60 00 04 0D 68 00 00 00 00 00 00 54 93                                           2018     674617471     05/03/2018 00:01:37:984     16841     
6        DUMMY60          54 93 00 01 41 CA A8 35 D8 7F 00 60 00 05 0D 68 00 00 00 00 00 00 61 24                                           2018     674617471     05/03/2018 00:01:37:984     16842     
7        DUMMY60          61 24 00 01 41 CB A8 35 D8 7F 00 60 00 08 0D 68 00 00 00 00 00 00 8E 9D                                           2018     674617471     05/03/2018 00:01:37:984     16843     
8        DUMMY60          8E 9D 00 01 41 CC A8 35 D8 7F 00 60 00 09 0D 68 00 00 00 00 00 00 F2 E2                                           2018     674617471     05/03/2018 00:01:37:984     16844     
9        DUMMY60          F2 E2 00 01 41 CD A8 35 D8 7F 00 60 00 0A 0D 68 00 00 00 00 00 00 6A E1                                           2018     674617471     05/03/2018 00:01:37:984     16845     
10       DUMMY60          6A E1 00 01 41 CE A8 35 D8 7F 00 60 00 0B 0D 68 00 00 00 00 00 00 87 AF                                           2018     674617471     05/03/2018 00:01:37:984     16846     
11       DUMMY60          87 AF 00 01 41 CF A8 35 D8 7F 00 60 00 0C 0D 68 00 00 00 00 00 00 BF C8                                           2018     674617471     05/03/2018 00:01:37:984     16847     
12       DUMMY60          BF C8 00 01 41 D0 A8 35 D8 7F 00 60 00 0D 0D 68 00 00 00 00 00 00 29 51                                           2018     674617471     05/03/2018 00:01:37:984     16848     
13       DUMMY60          29 51 00 01 41 D1 A8 35 D8 7F 00 60 00 0E 0D 68 00 00 00 00 00 00 CD 74                                           2018     674617471     05/03/2018 00:01:37:984     16849     
14       DUMMY60          CD 74 00 01 41 D2 A8 35 D8 7F 00 60 00 0F 0D 68 00 00 00 00 00 00 0A A4                                           2018     674617471     05/03/2018 00:01:37:984     16850     
15       DUMMY60          0A A4 00 01 41 D3 A8 35 D8 7F 00 60 00 10 0D 68 00 00 00 00 00 00 0C 5D                                           2018     674617471     05/03/2018 00:01:37:984     16851     
16       DUMMY60          0C 5D 00 01 41 D4 A8 35 D8 7F 00 60 00 11 0D 68 00 00 00 00 00 00 5D 4D                                           2018     674617471     05/03/2018 00:01:37:984     16852     
17       DUMMY60          5D 4D 00 01 41 D5 A8 35 D8 7F 00 60 00 12 0D 68 00 00 00 00 00 00 EB E2                                           2018     674617471     05/03/2018 00:01:37:984     16853     
18       DUMMY60          EB E2 00 01 41 D6 A8 35 D8 7F 00 60 00 13 0D 68 00 00 00 00 00 00 DD C9                                           2018     674617471     05/03/2018 00:01:37:984     16854     
19       DUMMY60          DD C9 00 01 41 D7 A8 35 D8 7F 00 60 00 14 0D 68 00 00 00 00 00 00 7B 6C                                           2018     674617471     05/03/2018 00:01:37:984     16855     
20       DUMMY60          7B 6C 00 01 41 D8 A8 35 D8 7F 00 60 00 15 0D 68 00 00 00 00 00 00 40 22                                           2018     674617471     05/03/2018 00:01:37:984     16856     
21       DUMMY60          40 22 00 01 41 D9 A8 35 D8 7F 00 60 00 16 0D 68 00 00 00 00 00 00 4A D2                                           2018     674617471     05/03/2018 00:01:37:984     16857     
