PACKET INFORMATION OF Spot_2
Report Taken on : 30/Apr/18 10:10:51
From: 29/Apr/18  00:00:00
To: 29/Apr/18  23:59:59 
SlNo      PKT.TYPE         PACKET                                                                                                            YEAR     LTIME         DATE&TIME                   SEQNO     
1         DUMMY60          CF 9D 00 02 1D 65 A6 E4 43 7F 00 60 00 02 06 43 00 00 00 00 00 00 24 EF                                           2018     652493695     04/29/2018 00:00:13:984     7525      
2         DUMMY60          24 EF 00 02 1D 66 A6 E4 43 7F 00 60 00 03 06 43 00 00 00 00 00 00 30 8E                                           2018     652493695     04/29/2018 00:00:13:984     7526      
3         DUMMY60          30 8E 00 02 1D 67 A6 E4 43 7F 00 60 00 04 06 43 00 00 00 00 00 00 48 FB                                           2018     652493695     04/29/2018 00:00:13:984     7527      
4         DUMMY60          48 FB 00 02 1D 68 A6 E4 43 7F 00 60 00 05 06 43 00 00 00 00 00 00 20 39                                           2018     652493695     04/29/2018 00:00:13:984     7528      
5         DUMMY60          20 39 00 02 1D 69 A6 E4 43 7F 00 60 00 07 06 43 00 00 00 00 00 00 81 BF                                           2018     652493695     04/29/2018 00:00:13:984     7529      
6         DUMMY60          81 BF 00 02 1D 6A A6 E4 43 7F 00 60 00 08 06 43 00 00 00 00 00 00 7F B7                                           2018     652493695     04/29/2018 00:00:13:984     7530      
7         DUMMY60          7F B7 00 02 1D 6B A6 E4 43 7F 00 60 00 09 06 43 00 00 00 00 00 00 D1 76                                           2018     652493695     04/29/2018 00:00:13:984     7531      
8         DUMMY60          D1 76 00 02 1D 6C A6 E4 43 7F 00 60 00 0A 06 43 00 00 00 00 00 00 84 9A                                           2018     652493695     04/29/2018 00:00:13:984     7532      
9         DUMMY60          84 9A 00 02 1D 6D A6 E4 43 7F 00 60 00 0B 06 43 00 00 00 00 00 00 55 32                                           2018     652493695     04/29/2018 00:00:13:984     7533      
10        DUMMY60          55 32 00 02 1D 6E A6 E4 43 7F 00 60 00 0C 06 43 00 00 00 00 00 00 9E CF                                           2018     652493695     04/29/2018 00:00:13:984     7534      
11        DUMMY60          9E CF 00 02 1D 6F A6 E4 43 7F 00 60 00 0D 06 43 00 00 00 00 00 00 31 DD                                           2018     652493695     04/29/2018 00:00:13:984     7535      
12        DUMMY60          31 DD 00 02 1D 70 A6 E4 43 7F 00 60 00 0E 06 43 00 00 00 00 00 00 5D 94                                           2018     652493695     04/29/2018 00:00:13:984     7536      
13        DUMMY60          5D 94 00 02 1D 71 A6 E4 43 7F 00 60 00 0F 06 43 00 00 00 00 00 00 E1 B6                                           2018     652493695     04/29/2018 00:00:13:984     7537      
14        DUMMY60          E1 B6 00 02 1D 72 A6 E4 43 7F 00 60 00 10 06 43 00 00 00 00 00 00 39 D0                                           2018     652493695     04/29/2018 00:00:13:984     7538      
