PACKET INFORMATION OF Spot_2
Report Taken on : 03/May/18 09:44:54
From: 02/May/18  08:00:00
To: 03/May/18  08:00:00 
SlNo     PKT.TYPE         PACKET                                                                                                            YEAR     LTIME         DATE&TIME                   SEQNO     
1        DUMMY60          F4 3F 00 02 22 39 A8 35 C1 FF 00 60 00 07 06 41 00 0D 00 00 00 00 52 48                                           2018     674611711     05/03/2018 00:00:07:984     8761      
2        DUMMY60          52 48 00 02 22 3A A8 35 C7 FF 00 60 00 02 06 43 00 00 00 00 00 00 63 15                                           2018     674613247     05/03/2018 00:00:31:984     8762      
3        DUMMY60          63 15 00 02 22 3B A8 35 C7 FF 00 60 00 03 06 43 00 00 00 00 00 00 CA 67                                           2018     674613247     05/03/2018 00:00:31:984     8763      
4        DUMMY60          CA 67 00 02 22 3C A8 35 C7 FF 00 60 00 04 06 43 00 00 00 00 00 00 C9 EC                                           2018     674613247     05/03/2018 00:00:31:984     8764      
5        DUMMY60          C9 EC 00 02 22 3D A8 35 C7 FF 00 60 00 05 06 43 00 00 00 00 00 00 13 E4                                           2018     674613247     05/03/2018 00:00:31:984     8765      
6        DUMMY60          13 E4 00 02 22 3E A8 35 C7 FF 00 60 00 06 06 43 00 00 00 00 00 00 97 6A                                           2018     674613247     05/03/2018 00:00:31:984     8766      
7        DUMMY60          97 6A 00 02 22 3F A8 35 C7 FF 00 60 00 08 06 43 00 00 00 00 00 00 CC C7                                           2018     674613247     05/03/2018 00:00:31:984     8767      
8        DUMMY60          CC C7 00 02 22 40 A8 35 C7 FF 00 60 00 09 06 43 00 00 00 00 00 00 4E E6                                           2018     674613247     05/03/2018 00:00:31:984     8768      
9        DUMMY60          4E E6 00 02 22 41 A8 35 C7 FF 00 60 00 0A 06 43 00 00 00 00 00 00 CA 28                                           2018     674613247     05/03/2018 00:00:31:984     8769      
10       DUMMY60          CA 28 00 02 22 42 A8 35 C7 FF 00 60 00 0B 06 43 00 00 00 00 00 00 33 63                                           2018     674613247     05/03/2018 00:00:31:984     8770      
11       DUMMY60          33 63 00 02 22 43 A8 35 C7 FF 00 60 00 0C 06 43 00 00 00 00 00 00 A3 4E                                           2018     674613247     05/03/2018 00:00:31:984     8771      
12       DUMMY60          A3 4E 00 02 22 44 A8 35 C7 FF 00 60 00 0D 06 43 00 00 00 00 00 00 4D 90                                           2018     674613247     05/03/2018 00:00:31:984     8772      
13       DUMMY60          4D 90 00 02 22 45 A8 35 C7 FF 00 60 00 0E 06 43 00 00 00 00 00 00 E7 51                                           2018     674613247     05/03/2018 00:00:31:984     8773      
14       DUMMY60          E7 51 00 02 22 46 A8 35 C7 FF 00 60 00 0F 06 43 00 00 00 00 00 00 90 13                                           2018     674613247     05/03/2018 00:00:31:984     8774      
15       DUMMY60          90 13 00 02 22 47 A8 35 C7 FF 00 60 00 10 06 43 00 00 00 00 00 00 F8 78                                           2018     674613247     05/03/2018 00:00:31:984     8775      
16       DUMMY60          F8 78 00 02 22 48 A8 35 C7 FF 00 60 00 11 06 43 00 00 00 00 00 00 B0 31                                           2018     674613247     05/03/2018 00:00:31:984     8776      
17       DUMMY60          B0 31 00 02 22 49 A8 35 C7 FF 00 60 00 12 06 43 00 00 00 00 00 00 07 98                                           2018     674613247     05/03/2018 00:00:31:984     8777      
18       DUMMY60          07 98 00 02 22 4A A8 35 C7 FF 00 60 00 13 06 43 00 00 00 00 00 00 80 1D                                           2018     674613247     05/03/2018 00:00:31:984     8778      
19       DUMMY60          80 1D 00 02 22 4B A8 35 C7 FF 00 60 00 14 06 43 00 00 00 00 00 00 0E 49                                           2018     674613247     05/03/2018 00:00:31:984     8779      
20       DUMMY60          0E 49 00 02 22 4C A8 35 C7 FF 00 60 00 15 06 43 00 00 00 00 00 00 FD 03                                           2018     674613247     05/03/2018 00:00:31:984     8780      
21       DUMMY60          FD 03 00 02 22 4D A8 35 C7 FF 00 60 00 16 06 43 00 00 00 00 00 00 A1 24                                           2018     674613247     05/03/2018 00:00:31:984     8781      
22       DUMMY60          A1 24 00 02 22 4E A8 35 C7 FF 00 60 00 17 06 43 00 00 00 00 00 00 EE E4                                           2018     674613247     05/03/2018 00:00:31:984     8782      
23       DUMMY60          EE E4 00 02 22 4F A8 35 C7 FF 00 60 00 18 06 43 00 00 00 00 00 00 D1 18                                           2018     674613247     05/03/2018 00:00:31:984     8783      
24       DUMMY60          D1 18 00 02 22 50 A8 35 C7 FF 00 60 00 19 06 43 00 00 00 00 00 00 4F C4                                           2018     674613247     05/03/2018 00:00:31:984     8784      
25       DUMMY60          4F C4 00 02 22 51 A8 35 C8 3F 00 60 00 01 06 44 00 00 00 00 00 00 66 65                                           2018     674613311     05/03/2018 00:00:32:984     8785      
26       TIMEPACKET       66 65 00 02 22 52 A8 35 D7 3F 00 05 00 00 00 00 00 00 00 00 00 00 AD CD                                           2018     674617151     05/03/2018 00:01:32:984     8786      
27       DUMMY60          AD CD 00 02 22 53 A8 35 DF FF 00 60 00 07 06 41 00 0D 00 00 00 00 D8 27                                           2018     674619391     05/03/2018 00:02:07:984     8787      
28       DUMMY60          F8 CC 00 02 22 5C A8 35 E5 FF 00 60 00 0B 06 42 00 00 00 00 00 00 50 93                                           2018     674620927     05/03/2018 00:02:31:984     8796      
29       DUMMY60          50 93 00 02 22 5D A8 35 E5 FF 00 60 00 0C 06 42 00 00 00 00 00 00 2C 0C                                           2018     674620927     05/03/2018 00:02:31:984     8797      
30       DUMMY60          2C 0C 00 02 22 5E A8 35 E5 FF 00 60 00 0D 06 42 00 00 00 00 00 00 73 8D                                           2018     674620927     05/03/2018 00:02:31:984     8798      
31       DUMMY60          73 8D 00 02 22 5F A8 35 E5 FF 00 60 00 0E 06 42 00 00 00 00 00 00 8A A7                                           2018     674620927     05/03/2018 00:02:31:984     8799      
32       DUMMY60          8A A7 00 02 22 60 A8 35 E5 FF 00 60 00 0F 06 42 00 00 00 00 00 00 44 66                                           2018     674620927     05/03/2018 00:02:31:984     8800      
33       DUMMY60          44 66 00 02 22 61 A8 35 E5 FF 00 60 00 10 06 42 00 00 00 00 00 00 2A DF                                           2018     674620927     05/03/2018 00:02:31:984     8801      
34       DUMMY60          2A DF 00 02 22 62 A8 35 E5 FF 00 60 00 11 06 42 00 00 00 00 00 00 C2 65                                           2018     674620927     05/03/2018 00:02:31:984     8802      
35       DUMMY60          C2 65 00 02 22 63 A8 35 E5 FF 00 60 00 12 06 42 00 00 00 00 00 00 65 23                                           2018     674620927     05/03/2018 00:02:31:984     8803      
36       DUMMY60          65 23 00 02 22 64 A8 35 E5 FF 00 60 00 13 06 42 00 00 00 00 00 00 FA BF                                           2018     674620927     05/03/2018 00:02:31:984     8804      
37       DUMMY60          FA BF 00 02 22 65 A8 35 E5 FF 00 60 00 14 06 42 00 00 00 00 00 00 03 43                                           2018     674620927     05/03/2018 00:02:31:984     8805      
38       DUMMY60          03 43 00 02 22 66 A8 35 E5 FF 00 60 00 15 06 42 00 00 00 00 00 00 54 38                                           2018     674620927     05/03/2018 00:02:31:984     8806      
39       DUMMY60          54 38 00 02 22 67 A8 35 E5 FF 00 60 00 16 06 42 00 00 00 00 00 00 29 E6                                           2018     674620927     05/03/2018 00:02:31:984     8807      
40       DUMMY60          29 E6 00 02 22 68 A8 35 E5 FF 00 60 00 17 06 42 00 00 00 00 00 00 11 A7                                           2018     674620927     05/03/2018 00:02:31:984     8808      
41       DUMMY60          11 A7 00 02 22 69 A8 35 E5 FF 00 60 00 18 06 42 00 00 00 00 00 00 DE D9                                           2018     674620927     05/03/2018 00:02:31:984     8809      
42       DUMMY60          DE D9 00 02 22 6A A8 35 E5 FF 00 60 00 19 06 42 00 00 00 00 00 00 AF 99                                           2018     674620927     05/03/2018 00:02:31:984     8810      
43       DUMMY60          AF 99 00 02 22 6B A8 35 E6 3F 00 60 00 01 06 4F 00 00 00 00 00 00 39 BC                                           2018     674620991     05/03/2018 00:02:32:984     8811      
44       TIMEPACKET       39 BC 00 02 22 6C A8 35 F5 3F 00 05 00 00 00 00 00 00 00 00 00 00 9F DE                                           2018     674624831     05/03/2018 00:03:32:984     8812      
45       DUMMY60          9F DE 00 02 22 6D A8 35 FD FF 00 60 00 07 06 42 00 0D 00 00 00 00 40 5A                                           2018     674627071     05/03/2018 00:04:07:984     8813      
46       HOURPACKET       40 5A 00 02 22 6E A8 35 FF FF 00 06 00 00 00 00 00 00 00 00 00 00 F9 A4                                           2018     674627583     05/03/2018 00:04:15:984     8814      
47       DUMMY60          F9 A4 00 02 22 6F A8 36 03 FF 00 60 00 02 06 41 00 00 00 00 00 00 E4 C7                                           2018     674628607     05/03/2018 00:04:31:984     8815      
