DUPLICATION REPORT
Report Taken on : 08/Jun/18 12:57:40
From  : 08/Jun/18  01:20:03
To  : 08/Jun/18  12:47:47 
SlNo     AT STATION      TIME                    DUPLICATION %         
1             spot2      06/08/2018 01:20:03     24.900                
2             spot2      06/08/2018 02:00:03     23.016                
3             spot2      06/08/2018 02:20:03     22.400                
4             spot2      06/08/2018 02:40:03     24.390                
5             spot2      06/08/2018 03:00:03     27.092                
6             spot2      06/08/2018 03:20:03     22.709                
7             spot2      06/08/2018 04:00:03     21.200                
8             spot2      06/08/2018 11:00:03     24.400                
9             spot2      06/08/2018 11:07:14     27.500                
10            spot2      06/08/2018 11:27:47     22.426                
11            spot2      06/08/2018 11:47:47     25.197                
12            spot2      06/08/2018 12:07:47     21.116                
13            spot3      06/08/2018 01:20:03     00.000                
14            spot3      06/08/2018 02:00:03     00.000                
15            spot3      06/08/2018 02:20:03     00.000                
16            spot3      06/08/2018 02:40:03     00.000                
17            spot3      06/08/2018 03:00:03     00.000                
18            spot3      06/08/2018 03:20:03     00.000                
19            spot3      06/08/2018 04:00:03     00.000                
20            spot3      06/08/2018 11:00:03     00.000                
21            spot3      06/08/2018 11:07:14     00.000                
22            spot3      06/08/2018 11:27:47     81.425                
23            spot3      06/08/2018 11:47:47     41.283                
24            spot3      06/08/2018 12:07:47     50.753                
25            Spot6      06/08/2018 01:20:03     31.351                
26            Spot6      06/08/2018 02:00:03     34.934                
27            Spot6      06/08/2018 02:20:03     33.477                
28            Spot6      06/08/2018 02:40:03     40.036                
29            Spot6      06/08/2018 03:00:03     39.688                
30            Spot6      06/08/2018 03:20:03     36.029                
31            Spot6      06/08/2018 04:00:03     35.807                
32            Spot6      06/08/2018 11:00:03     17.603                
33            Spot6      06/08/2018 11:07:14     09.901                
34            Spot6      06/08/2018 11:27:47     10.400                
35            Spot6      06/08/2018 11:47:47     09.091                
36            Spot6      06/08/2018 12:07:47     09.921                
37            Spot10     06/08/2018 01:20:03     00.000                
38            Spot10     06/08/2018 02:00:03     00.000                
39            Spot10     06/08/2018 02:20:03     00.000                
40            Spot10     06/08/2018 02:40:03     00.000                
41            Spot10     06/08/2018 03:00:03     00.000                
42            Spot10     06/08/2018 03:20:03     00.000                
43            Spot10     06/08/2018 04:00:03     00.000                
44            Spot10     06/08/2018 11:00:03     08.310                
45            Spot10     06/08/2018 11:07:14     34.006                
46            Spot10     06/08/2018 11:27:47     23.839                
47            Spot10     06/08/2018 11:47:47     27.139                
48            Spot10     06/08/2018 12:07:47     31.127                
