PACKET INFORMATION OF spot_5
Report Taken on : 30/Apr/18 09:59:49
From: 29/Apr/18  00:00:00
To: 29/Apr/18  23:59:59 
SlNo      PKT.TYPE         PACKET                                                                                                            YEAR     LTIME         DATE&TIME                   SEQNO     
1         DUMMY60          1F AE 00 05 04 00 A6 E4 49 BF 00 60 00 02 06 6A 00 00 00 00 00 00 72 1A                                           2018     652495295     04/29/2018 00:00:38:984     1024      
2         DUMMY60          72 1A 00 05 04 01 A6 E4 49 BF 00 60 00 03 06 6A 00 00 00 00 00 00 70 37                                           2018     652495295     04/29/2018 00:00:38:984     1025      
3         DUMMY60          70 37 00 05 04 02 A6 E4 49 BF 00 60 00 04 06 6A 00 00 00 00 00 00 5B 8A                                           2018     652495295     04/29/2018 00:00:38:984     1026      
4         DUMMY60          5B 8A 00 05 04 03 A6 E4 49 BF 00 60 00 05 06 6A 00 00 00 00 00 00 EA 8C                                           2018     652495295     04/29/2018 00:00:38:984     1027      
5         DUMMY60          EA 8C 00 05 04 04 A6 E4 49 BF 00 60 00 06 06 6A 00 00 00 00 00 00 69 B6                                           2018     652495295     04/29/2018 00:00:38:984     1028      
6         DUMMY60          69 B6 00 05 04 05 A6 E4 49 BF 00 60 00 07 06 6A 00 00 00 00 00 00 69 47                                           2018     652495295     04/29/2018 00:00:38:984     1029      
7         DUMMY60          69 47 00 05 04 06 A6 E4 49 BF 00 60 00 08 06 6A 00 00 00 00 00 00 BB 2F                                           2018     652495295     04/29/2018 00:00:38:984     1030      
8         DUMMY60          BB 2F 00 05 04 07 A6 E4 49 BF 00 60 00 09 06 6A 00 00 00 00 00 00 90 6C                                           2018     652495295     04/29/2018 00:00:38:984     1031      
9         DUMMY60          90 6C 00 05 04 08 A6 E4 49 BF 00 60 00 0A 06 6A 00 00 00 00 00 00 BF BD                                           2018     652495295     04/29/2018 00:00:38:984     1032      
10        DUMMY60          BF BD 00 05 04 09 A6 E4 49 BF 00 60 00 0B 06 6A 00 00 00 00 00 00 17 FA                                           2018     652495295     04/29/2018 00:00:38:984     1033      
