PACKET INFORMATION OF spot_5
Report Taken on : 03/May/18 09:46:05
From: 02/May/18  08:00:00
To: 03/May/18  08:00:00 
SlNo     PKT.TYPE         PACKET                                                                                                            YEAR     LTIME         DATE&TIME                   SEQNO     
1        TIMEPACKET       EB 53 00 05 2A 4A A8 35 C5 FF 00 05 00 00 00 00 00 00 00 00 00 00 51 46                                           2018     674612735     05/03/2018 00:00:23:984     10826     
2        DUMMY60          51 46 00 05 2A 4B A8 35 C8 3F 00 60 00 02 06 65 00 00 00 00 00 00 FC 26                                           2018     674613311     05/03/2018 00:00:32:984     10827     
3        DUMMY60          FC 26 00 05 2A 4C A8 35 C8 3F 00 60 00 03 06 65 00 00 00 00 00 00 37 64                                           2018     674613311     05/03/2018 00:00:32:984     10828     
4        DUMMY60          37 64 00 05 2A 4D A8 35 C8 3F 00 60 00 04 06 65 00 00 00 00 00 00 B1 92                                           2018     674613311     05/03/2018 00:00:32:984     10829     
5        DUMMY60          B1 92 00 05 2A 4E A8 35 C8 3F 00 60 00 05 06 65 00 00 00 00 00 00 DF 69                                           2018     674613311     05/03/2018 00:00:32:984     10830     
6        DUMMY60          DF 69 00 05 2A 4F A8 35 C8 3F 00 60 00 06 06 65 00 00 00 00 00 00 70 CB                                           2018     674613311     05/03/2018 00:00:32:984     10831     
7        DUMMY60          70 CB 00 05 2A 50 A8 35 C8 3F 00 60 00 07 06 65 00 00 00 00 00 00 6F 7F                                           2018     674613311     05/03/2018 00:00:32:984     10832     
8        DUMMY60          6F 7F 00 05 2A 51 A8 35 C8 3F 00 60 00 08 06 65 00 00 00 00 00 00 C7 24                                           2018     674613311     05/03/2018 00:00:32:984     10833     
9        DUMMY60          C7 24 00 05 2A 52 A8 35 C8 3F 00 60 00 09 06 65 00 00 00 00 00 00 A7 4C                                           2018     674613311     05/03/2018 00:00:32:984     10834     
10       DUMMY60          A7 4C 00 05 2A 53 A8 35 C8 3F 00 60 00 0A 06 65 00 00 00 00 00 00 FC A6                                           2018     674613311     05/03/2018 00:00:32:984     10835     
11       DUMMY60          FC A6 00 05 2A 54 A8 35 C8 3F 00 60 00 0B 06 65 00 00 00 00 00 00 B1 66                                           2018     674613311     05/03/2018 00:00:32:984     10836     
12       DUMMY60          B1 66 00 05 2A 55 A8 35 C8 3F 00 60 00 0C 06 65 00 00 00 00 00 00 7C D5                                           2018     674613311     05/03/2018 00:00:32:984     10837     
13       DUMMY60          7C D5 00 05 2A 56 A8 35 C8 3F 00 60 00 0D 06 65 00 00 00 00 00 00 86 84                                           2018     674613311     05/03/2018 00:00:32:984     10838     
14       DUMMY60          86 84 00 05 2A 57 A8 35 C8 3F 00 60 00 0E 06 65 00 00 00 00 00 00 C6 58                                           2018     674613311     05/03/2018 00:00:32:984     10839     
15       DUMMY60          C6 58 00 05 2A 58 A8 35 C8 3F 00 60 00 0F 06 65 00 00 00 00 00 00 06 05                                           2018     674613311     05/03/2018 00:00:32:984     10840     
16       DUMMY60          06 05 00 05 2A 59 A8 35 C8 3F 00 60 00 10 06 65 00 00 00 00 00 00 5A 02                                           2018     674613311     05/03/2018 00:00:32:984     10841     
17       DUMMY60          5A 02 00 05 2A 5A A8 35 C8 3F 00 60 00 11 06 65 00 00 00 00 00 00 18 79                                           2018     674613311     05/03/2018 00:00:32:984     10842     
18       DUMMY60          18 79 00 05 2A 5B A8 35 C8 3F 00 60 00 12 06 65 00 00 00 00 00 00 12 78                                           2018     674613311     05/03/2018 00:00:32:984     10843     
19       DUMMY60          12 78 00 05 2A 5C A8 35 C8 3F 00 60 00 13 06 65 00 00 00 00 00 00 DB 10                                           2018     674613311     05/03/2018 00:00:32:984     10844     
20       DUMMY60          DB 10 00 05 2A 5D A8 35 C8 3F 00 60 00 14 06 65 00 00 00 00 00 00 FF 56                                           2018     674613311     05/03/2018 00:00:32:984     10845     
21       DUMMY60          PACKET NOT AVAILABLE IN MDATA TABLE
FF 56 00 05 2A 5E A8 35 C8 3F 00 60 00 15 06 65 00 00 00 00 00 00 2F BF      2018     674613311     05/03/2018 00:00:32:984     10846     
22       DUMMY60          2F BF 00 05 2A 5F A8 35 C8 3F 00 60 00 16 06 65 00 00 00 00 00 00 FA 31                                           2018     674613311     05/03/2018 00:00:32:984     10847     
23       DUMMY60          FA 31 00 05 2A 60 A8 35 C8 3F 00 60 00 17 06 65 00 00 00 00 00 00 FB 53                                           2018     674613311     05/03/2018 00:00:32:984     10848     
24       DUMMY60          FB 53 00 05 2A 61 A8 35 C8 3F 00 60 00 18 06 65 00 00 00 00 00 00 B3 3D                                           2018     674613311     05/03/2018 00:00:32:984     10849     
25       DUMMY60          B3 3D 00 05 2A 62 A8 35 C8 3F 00 60 00 19 06 65 00 00 00 00 00 00 E7 0C                                           2018     674613311     05/03/2018 00:00:32:984     10850     
26       DUMMY60          E7 0C 00 05 2A 63 A8 35 D4 FF 00 60 00 01 06 62 00 00 00 00 00 00 32 3F                                           2018     674616575     05/03/2018 00:01:23:984     10851     
27       TIMEPACKET       32 3F 00 05 2A 64 A8 35 E3 FF 00 05 00 00 00 00 00 00 00 00 00 00 41 42                                           2018     674620415     05/03/2018 00:02:23:984     10852     
28       DUMMY60          41 42 00 05 2A 65 A8 35 E6 3F 00 60 00 02 06 64 00 00 00 00 00 00 3A 27                                           2018     674620991     05/03/2018 00:02:32:984     10853     
29       DUMMY60          3A 27 00 05 2A 66 A8 35 E6 3F 00 60 00 03 06 64 00 00 00 00 00 00 AE D8                                           2018     674620991     05/03/2018 00:02:32:984     10854     
30       DUMMY60          AE D8 00 05 2A 67 A8 35 E6 3F 00 60 00 04 06 64 00 00 00 00 00 00 C7 19                                           2018     674620991     05/03/2018 00:02:32:984     10855     
31       DUMMY60          C7 19 00 05 2A 68 A8 35 E6 3F 00 60 00 05 06 64 00 00 00 00 00 00 AD 64                                           2018     674620991     05/03/2018 00:02:32:984     10856     
32       DUMMY60          AD 64 00 05 2A 69 A8 35 E6 3F 00 60 00 06 06 64 00 00 00 00 00 00 4F 1D                                           2018     674620991     05/03/2018 00:02:32:984     10857     
33       DUMMY60          4F 1D 00 05 2A 6A A8 35 E6 3F 00 60 00 07 06 64 00 00 00 00 00 00 C9 4A                                           2018     674620991     05/03/2018 00:02:32:984     10858     
34       DUMMY60          C9 4A 00 05 2A 6B A8 35 E6 3F 00 60 00 08 06 64 00 00 00 00 00 00 1B A3                                           2018     674620991     05/03/2018 00:02:32:984     10859     
35       DUMMY60          1B A3 00 05 2A 6C A8 35 E6 3F 00 60 00 09 06 64 00 00 00 00 00 00 B1 B6                                           2018     674620991     05/03/2018 00:02:32:984     10860     
36       DUMMY60          B1 B6 00 05 2A 6D A8 35 E6 3F 00 60 00 0A 06 64 00 00 00 00 00 00 E5 BB                                           2018     674620991     05/03/2018 00:02:32:984     10861     
37       DUMMY60          E5 BB 00 05 2A 6E A8 35 E6 3F 00 60 00 0B 06 64 00 00 00 00 00 00 8D D8                                           2018     674620991     05/03/2018 00:02:32:984     10862     
38       DUMMY60          8D D8 00 05 2A 6F A8 35 E6 3F 00 60 00 0C 06 64 00 00 00 00 00 00 B5 33                                           2018     674620991     05/03/2018 00:02:32:984     10863     
