PACKET INFORMATION OF spot_6
Report Taken on : 30/Apr/18 10:12:30
From: 29/Apr/18  00:00:00
To: 29/Apr/18  23:59:59 
SlNo     PKT.TYPE         PACKET                                                                                                            YEAR     LTIME         DATE&TIME                   SEQNO     
1        TIMEPACKET       92 C3 00 06 1C EA A6 E4 47 FF 00 05 00 00 00 00 00 00 00 00 00 00 8F 8C                                           2018     652494847     04/29/2018 00:00:31:984     7402      
2        DUMMY60          8F 8C 00 06 1C EB A6 E4 51 BF 00 60 00 01 06 44 00 00 00 00 00 00 EC B1                                           2018     652497343     04/29/2018 00:01:10:984     7403      
3        DUMMY60          EC B1 00 06 1C EC A6 E4 56 FF 00 60 00 02 06 40 00 00 00 00 00 00 AF 99                                           2018     652498687     04/29/2018 00:01:31:984     7404      
4        DUMMY60          AF 99 00 06 1C ED A6 E4 56 FF 00 60 00 03 06 40 00 00 00 00 00 00 F5 A7                                           2018     652498687     04/29/2018 00:01:31:984     7405      
5        DUMMY60          F5 A7 00 06 1C EE A6 E4 56 FF 00 60 00 04 06 40 00 00 00 00 00 00 08 53                                           2018     652498687     04/29/2018 00:01:31:984     7406      
6        DUMMY60          08 53 00 06 1C EF A6 E4 56 FF 00 60 00 05 06 40 00 00 00 00 00 00 16 DB                                           2018     652498687     04/29/2018 00:01:31:984     7407      
7        DUMMY60          16 DB 00 06 1C F0 A6 E4 56 FF 00 60 00 06 06 40 00 00 00 00 00 00 B6 AE                                           2018     652498687     04/29/2018 00:01:31:984     7408      
8        DUMMY60          B6 AE 00 06 1C F1 A6 E4 56 FF 00 60 00 07 06 40 00 00 00 00 00 00 B7 1A                                           2018     652498687     04/29/2018 00:01:31:984     7409      
9        DUMMY60          B7 1A 00 06 1C F2 A6 E4 56 FF 00 60 00 08 06 40 00 00 00 00 00 00 A1 91                                           2018     652498687     04/29/2018 00:01:31:984     7410      
10       DUMMY60          A1 91 00 06 1C F3 A6 E4 56 FF 00 60 00 09 06 40 00 00 00 00 00 00 0C 46                                           2018     652498687     04/29/2018 00:01:31:984     7411      
11       DUMMY60          0C 46 00 06 1C F4 A6 E4 56 FF 00 60 00 0A 06 40 00 00 00 00 00 00 BD 79                                           2018     652498687     04/29/2018 00:01:31:984     7412      
12       DUMMY60          BD 79 00 06 1C F5 A6 E4 56 FF 00 60 00 0B 06 40 00 00 00 00 00 00 03 9E                                           2018     652498687     04/29/2018 00:01:31:984     7413      
13       DUMMY60          03 9E 00 06 1C F6 A6 E4 56 FF 00 60 00 0C 06 40 00 00 00 00 00 00 E5 9E                                           2018     652498687     04/29/2018 00:01:31:984     7414      
14       DUMMY60          E5 9E 00 06 1C F7 A6 E4 56 FF 00 60 00 0D 06 40 00 00 00 00 00 00 67 CC                                           2018     652498687     04/29/2018 00:01:31:984     7415      
15       DUMMY60          67 CC 00 06 1C F8 A6 E4 56 FF 00 60 00 0E 06 40 00 00 00 00 00 00 F0 65                                           2018     652498687     04/29/2018 00:01:31:984     7416      
16       DUMMY60          F0 65 00 06 1C F9 A6 E4 56 FF 00 60 00 0F 06 40 00 00 00 00 00 00 3C 89                                           2018     652498687     04/29/2018 00:01:31:984     7417      
17       DUMMY60          3C 89 00 06 1C FA A6 E4 56 FF 00 60 00 10 06 40 00 00 00 00 00 00 D8 C4                                           2018     652498687     04/29/2018 00:01:31:984     7418      
18       DUMMY60          D8 C4 00 06 1C FB A6 E4 56 FF 00 60 00 11 06 40 00 00 00 00 00 00 E7 6B                                           2018     652498687     04/29/2018 00:01:31:984     7419      
19       DUMMY60          E7 6B 00 06 1C FC A6 E4 56 FF 00 60 00 12 06 40 00 00 00 00 00 00 DD 41                                           2018     652498687     04/29/2018 00:01:31:984     7420      
20       DUMMY60          DD 41 00 06 1C FD A6 E4 56 FF 00 60 00 13 06 40 00 00 00 00 00 00 0D 78                                           2018     652498687     04/29/2018 00:01:31:984     7421      
21       DUMMY60          0D 78 00 06 1C FE A6 E4 56 FF 00 60 00 14 06 40 00 00 00 00 00 00 C6 8A                                           2018     652498687     04/29/2018 00:01:31:984     7422      
