PACKET INFORMATION OF spot_6
Report Taken on : 03/May/18 09:48:07
From: 02/May/18  08:00:00
To: 03/May/18  08:00:00 
SlNo     PKT.TYPE       PACKET                                                                                                            YEAR     LTIME         DATE&TIME                   SEQNO     
1        DUMMY60        17 E8 00 06 22 3C A8 35 CB BF 00 60 00 02 06 45 00 00 00 00 00 00 80 E9                                           2018     674614207     05/03/2018 00:00:46:984     8764      
2        DUMMY60        80 E9 00 06 22 3D A8 35 CB BF 00 60 00 03 06 45 00 00 00 00 00 00 B8 24                                           2018     674614207     05/03/2018 00:00:46:984     8765      
3        DUMMY60        B8 24 00 06 22 3E A8 35 CB BF 00 60 00 04 06 45 00 00 00 00 00 00 E1 40                                           2018     674614207     05/03/2018 00:00:46:984     8766      
4        DUMMY60        E1 40 00 06 22 3F A8 35 CB BF 00 60 00 05 06 45 00 00 00 00 00 00 30 90                                           2018     674614207     05/03/2018 00:00:46:984     8767      
5        DUMMY60        30 90 00 06 22 40 A8 35 CB BF 00 60 00 06 06 45 00 00 00 00 00 00 AE 6B                                           2018     674614207     05/03/2018 00:00:46:984     8768      
6        DUMMY60        AE 6B 00 06 22 41 A8 35 CB BF 00 60 00 07 06 45 00 00 00 00 00 00 7F 8A                                           2018     674614207     05/03/2018 00:00:46:984     8769      
7        DUMMY60        7F 8A 00 06 22 42 A8 35 CB BF 00 60 00 08 06 45 00 00 00 00 00 00 9C 7E                                           2018     674614207     05/03/2018 00:00:46:984     8770      
8        DUMMY60        9C 7E 00 06 22 43 A8 35 CB BF 00 60 00 09 06 45 00 00 00 00 00 00 1D E2                                           2018     674614207     05/03/2018 00:00:46:984     8771      
9        DUMMY60        1D E2 00 06 22 44 A8 35 CB BF 00 60 00 0A 06 45 00 00 00 00 00 00 85 A9                                           2018     674614207     05/03/2018 00:00:46:984     8772      
10       DUMMY60        85 A9 00 06 22 45 A8 35 CB BF 00 60 00 0B 06 45 00 00 00 00 00 00 9D 23                                           2018     674614207     05/03/2018 00:00:46:984     8773      
11       DUMMY60        9D 23 00 06 22 46 A8 35 CB BF 00 60 00 0C 06 45 00 00 00 00 00 00 BC 1C                                           2018     674614207     05/03/2018 00:00:46:984     8774      
12       DUMMY60        BC 1C 00 06 22 47 A8 35 CB BF 00 60 00 0D 06 45 00 00 00 00 00 00 05 28                                           2018     674614207     05/03/2018 00:00:46:984     8775      
13       DUMMY60        05 28 00 06 22 48 A8 35 CB BF 00 60 00 0E 06 45 00 00 00 00 00 00 67 1A                                           2018     674614207     05/03/2018 00:00:46:984     8776      
14       DUMMY60        67 1A 00 06 22 49 A8 35 CB BF 00 60 00 0F 06 45 00 00 00 00 00 00 C0 27                                           2018     674614207     05/03/2018 00:00:46:984     8777      
15       DUMMY60        C0 27 00 06 22 4A A8 35 CB BF 00 60 00 10 06 45 00 00 00 00 00 00 05 F7                                           2018     674614207     05/03/2018 00:00:46:984     8778      
16       DUMMY60        05 F7 00 06 22 4B A8 35 CB BF 00 60 00 11 06 45 00 00 00 00 00 00 F8 37                                           2018     674614207     05/03/2018 00:00:46:984     8779      
17       DUMMY60        F8 37 00 06 22 4C A8 35 CB BF 00 60 00 12 06 45 00 00 00 00 00 00 A6 59                                           2018     674614207     05/03/2018 00:00:46:984     8780      
18       DUMMY60        A6 59 00 06 22 4D A8 35 CB BF 00 60 00 13 06 45 00 00 00 00 00 00 12 1B                                           2018     674614207     05/03/2018 00:00:46:984     8781      
19       DUMMY60        12 1B 00 06 22 4E A8 35 CB BF 00 60 00 14 06 45 00 00 00 00 00 00 F8 12                                           2018     674614207     05/03/2018 00:00:46:984     8782      
20       DUMMY60        F8 12 00 06 22 4F A8 35 CB BF 00 60 00 15 06 45 00 00 00 00 00 00 99 22                                           2018     674614207     05/03/2018 00:00:46:984     8783      
21       DUMMY60        99 22 00 06 22 50 A8 35 CB BF 00 60 00 16 06 45 00 00 00 00 00 00 0E 80                                           2018     674614207     05/03/2018 00:00:46:984     8784      
22       DUMMY60        0E 80 00 06 22 51 A8 35 CB BF 00 60 00 17 06 45 00 00 00 00 00 00 63 21                                           2018     674614207     05/03/2018 00:00:46:984     8785      
23       DUMMY60        63 21 00 06 22 52 A8 35 CB BF 00 60 00 18 06 45 00 00 00 00 00 00 0F 3F                                           2018     674614207     05/03/2018 00:00:46:984     8786      
24       DUMMY60        0F 3F 00 06 22 53 A8 35 CB BF 00 60 00 19 06 45 00 00 00 00 00 00 2F 26                                           2018     674614207     05/03/2018 00:00:46:984     8787      
25       DUMMY60        2F 26 00 06 22 54 A8 35 CC 3F 00 60 00 01 06 45 00 00 00 00 00 00 1C CF                                           2018     674614335     05/03/2018 00:00:48:984     8788      
26       TIMEPACKET     1C CF 00 06 22 55 A8 35 DB 3F 00 05 00 00 00 00 00 00 00 00 00 00 49 FC                                           2018     674618175     05/03/2018 00:01:48:984     8789      
27       DUMMY60        49 FC 00 06 22 56 A8 35 E9 BF 00 60 00 02 06 47 00 00 00 00 00 00 CA ED                                           2018     674621887     05/03/2018 00:02:46:984     8790      
28       DUMMY60        CA ED 00 06 22 57 A8 35 E9 BF 00 60 00 03 06 47 00 00 00 00 00 00 66 EA                                           2018     674621887     05/03/2018 00:02:46:984     8791      
29       DUMMY60        66 EA 00 06 22 58 A8 35 E9 BF 00 60 00 04 06 47 00 00 00 00 00 00 02 A5                                           2018     674621887     05/03/2018 00:02:46:984     8792      
30       DUMMY60        02 A5 00 06 22 59 A8 35 E9 BF 00 60 00 05 06 47 00 00 00 00 00 00 3C 52                                           2018     674621887     05/03/2018 00:02:46:984     8793      
31       DUMMY60        3C 52 00 06 22 5A A8 35 E9 BF 00 60 00 06 06 47 00 00 00 00 00 00 72 E5                                           2018     674621887     05/03/2018 00:02:46:984     8794      
32       DUMMY60        72 E5 00 06 22 5B A8 35 E9 BF 00 60 00 07 06 47 00 00 00 00 00 00 C2 36                                           2018     674621887     05/03/2018 00:02:46:984     8795      
33       DUMMY60        C2 36 00 06 22 5C A8 35 E9 BF 00 60 00 08 06 47 00 00 00 00 00 00 88 DE                                           2018     674621887     05/03/2018 00:02:46:984     8796      
34       DUMMY60        88 DE 00 06 22 5D A8 35 E9 BF 00 60 00 09 06 47 00 00 00 00 00 00 CC 01                                           2018     674621887     05/03/2018 00:02:46:984     8797      
35       DUMMY60        CC 01 00 06 22 5E A8 35 E9 BF 00 60 00 0A 06 47 00 00 00 00 00 00 C7 D9                                           2018     674621887     05/03/2018 00:02:46:984     8798      
36       DUMMY60        C7 D9 00 06 22 5F A8 35 E9 BF 00 60 00 0B 06 47 00 00 00 00 00 00 B8 F2                                           2018     674621887     05/03/2018 00:02:46:984     8799      
37       DUMMY60        B8 F2 00 06 22 60 A8 35 E9 BF 00 60 00 0C 06 47 00 00 00 00 00 00 3F 29                                           2018     674621887     05/03/2018 00:02:46:984     8800      
38       DUMMY60        3F 29 00 06 22 61 A8 35 E9 BF 00 60 00 0D 06 47 00 00 00 00 00 00 6D 4E                                           2018     674621887     05/03/2018 00:02:46:984     8801      
39       DUMMY60        6D 4E 00 06 22 62 A8 35 E9 BF 00 60 00 0E 06 47 00 00 00 00 00 00 DD CD                                           2018     674621887     05/03/2018 00:02:46:984     8802      
40       DUMMY60        DD CD 00 06 22 63 A8 35 E9 BF 00 60 00 0F 06 47 00 00 00 00 00 00 13 A5                                           2018     674621887     05/03/2018 00:02:46:984     8803      
41       DUMMY60        13 A5 00 06 22 64 A8 35 E9 BF 00 60 00 10 06 47 00 00 00 00 00 00 3E 87                                           2018     674621887     05/03/2018 00:02:46:984     8804      
42       DUMMY60        3E 87 00 06 22 65 A8 35 E9 BF 00 60 00 11 06 47 00 00 00 00 00 00 8D A7                                           2018     674621887     05/03/2018 00:02:46:984     8805      
43       DUMMY60        8D A7 00 06 22 66 A8 35 E9 BF 00 60 00 12 06 47 00 00 00 00 00 00 47 68                                           2018     674621887     05/03/2018 00:02:46:984     8806      
44       DUMMY60        47 68 00 06 22 67 A8 35 E9 BF 00 60 00 13 06 47 00 00 00 00 00 00 BD 19                                           2018     674621887     05/03/2018 00:02:46:984     8807      
45       DUMMY60        BD 19 00 06 22 68 A8 35 E9 BF 00 60 00 14 06 47 00 00 00 00 00 00 89 CD                                           2018     674621887     05/03/2018 00:02:46:984     8808      
46       DUMMY60        89 CD 00 06 22 69 A8 35 E9 BF 00 60 00 15 06 47 00 00 00 00 00 00 C6 4A                                           2018     674621887     05/03/2018 00:02:46:984     8809      
47       DUMMY60        C6 4A 00 06 22 6A A8 35 E9 BF 00 60 00 16 06 47 00 00 00 00 00 00 7F 94                                           2018     674621887     05/03/2018 00:02:46:984     8810      
48       DUMMY60        7F 94 00 06 22 6B A8 35 E9 BF 00 60 00 17 06 47 00 00 00 00 00 00 6A 07                                           2018     674621887     05/03/2018 00:02:46:984     8811      
49       DUMMY60        6A 07 00 06 22 6C A8 35 E9 BF 00 60 00 18 06 47 00 00 00 00 00 00 21 38                                           2018     674621887     05/03/2018 00:02:46:984     8812      
50       DUMMY60        21 38 00 06 22 6D A8 35 E9 BF 00 60 00 19 06 47 00 00 00 00 00 00 A2 E8                                           2018     674621887     05/03/2018 00:02:46:984     8813      
51       DUMMY60        A2 E8 00 06 22 6E A8 35 EA 3F 00 60 00 01 06 48 00 00 00 00 00 00 F4 8F                                           2018     674622015     05/03/2018 00:02:48:984     8814      
52       TIMEPACKET     F4 8F 00 06 22 6F A8 35 F9 3F 00 05 00 00 00 00 00 00 00 00 00 00 E6 91                                           2018     674625855     05/03/2018 00:03:48:984     8815      
53       HOURPACKET     E6 91 00 06 22 70 A8 35 FF FF 00 06 00 00 00 00 00 00 00 00 00 00 6A F8                                           2018     674627583     05/03/2018 00:04:15:984     8816      
54       DUMMY60        6A F8 00 06 22 71 A8 36 07 BF 00 60 00 02 06 48 00 00 00 00 00 00 57 F1                                           2018     674629567     05/03/2018 00:04:46:984     8817      
55       DUMMY60        57 F1 00 06 22 72 A8 36 07 BF 00 60 00 03 06 48 00 00 00 00 00 00 D4 A5                                           2018     674629567     05/03/2018 00:04:46:984     8818      
56       DUMMY60        D4 A5 00 06 22 73 A8 36 07 BF 00 60 00 04 06 48 00 00 00 00 00 00 8B 11                                           2018     674629567     05/03/2018 00:04:46:984     8819      
57       DUMMY60        8B 11 00 06 22 74 A8 36 07 BF 00 60 00 05 06 48 00 00 00 00 00 00 E7 2B                                           2018     674629567     05/03/2018 00:04:46:984     8820      
58       DUMMY60        E7 2B 00 06 22 75 A8 36 07 BF 00 60 00 06 06 48 00 00 00 00 00 00 6B 55                                           2018     674629567     05/03/2018 00:04:46:984     8821      
59       DUMMY60        6B 55 00 06 22 76 A8 36 07 BF 00 60 00 07 06 48 00 00 00 00 00 00 79 27                                           2018     674629567     05/03/2018 00:04:46:984     8822      
60       DUMMY60        79 27 00 06 22 77 A8 36 07 BF 00 60 00 08 06 48 00 00 00 00 00 00 B4 AA                                           2018     674629567     05/03/2018 00:04:46:984     8823      
61       DUMMY60        B4 AA 00 06 22 78 A8 36 07 BF 00 60 00 09 06 48 00 00 00 00 00 00 1A 15                                           2018     674629567     05/03/2018 00:04:46:984     8824      
62       DUMMY60        1A 15 00 06 22 79 A8 36 07 BF 00 60 00 0A 06 48 00 00 00 00 00 00 A6 B5                                           2018     674629567     05/03/2018 00:04:46:984     8825      
63       DUMMY60        A6 B5 00 06 22 7A A8 36 07 BF 00 60 00 0B 06 48 00 00 00 00 00 00 D3 7B                                           2018     674629567     05/03/2018 00:04:46:984     8826      
64       DUMMY60        D3 7B 00 06 22 7B A8 36 07 BF 00 60 00 0C 06 48 00 00 00 00 00 00 84 80                                           2018     674629567     05/03/2018 00:04:46:984     8827      
65       DUMMY60        84 80 00 06 22 7C A8 36 07 BF 00 60 00 0D 06 48 00 00 00 00 00 00 6B 99                                           2018     674629567     05/03/2018 00:04:46:984     8828      
66       DUMMY60        6B 99 00 06 22 7D A8 36 07 BF 00 60 00 0E 06 48 00 00 00 00 00 00 88 9A                                           2018     674629567     05/03/2018 00:04:46:984     8829      
67       DUMMY60        88 9A 00 06 22 7E A8 36 07 BF 00 60 00 0F 06 48 00 00 00 00 00 00 8F AE                                           2018     674629567     05/03/2018 00:04:46:984     8830      
68       DUMMY60        8F AE 00 06 22 7F A8 36 07 BF 00 60 00 10 06 48 00 00 00 00 00 00 A1 02                                           2018     674629567     05/03/2018 00:04:46:984     8831      
69       DUMMY60        A1 02 00 06 22 80 A8 36 07 BF 00 60 00 11 06 48 00 00 00 00 00 00 CE F5                                           2018     674629567     05/03/2018 00:04:46:984     8832      
70       DUMMY60        CE F5 00 06 22 81 A8 36 07 BF 00 60 00 12 06 48 00 00 00 00 00 00 A4 42                                           2018     674629567     05/03/2018 00:04:46:984     8833      
71       DUMMY60        A4 42 00 06 22 82 A8 36 07 BF 00 60 00 13 06 48 00 00 00 00 00 00 F8 B9                                           2018     674629567     05/03/2018 00:04:46:984     8834      
72       DUMMY60        F8 B9 00 06 22 83 A8 36 07 BF 00 60 00 14 06 48 00 00 00 00 00 00 C7 AF                                           2018     674629567     05/03/2018 00:04:46:984     8835      
73       DUMMY60        C7 AF 00 06 22 84 A8 36 07 BF 00 60 00 15 06 48 00 00 00 00 00 00 94 F8                                           2018     674629567     05/03/2018 00:04:46:984     8836      
74       DUMMY60        94 F8 00 06 22 85 A8 36 07 BF 00 60 00 16 06 48 00 00 00 00 00 00 EB 11                                           2018     674629567     05/03/2018 00:04:46:984     8837      
75       DUMMY60        EB 11 00 06 22 86 A8 36 07 BF 00 60 00 17 06 48 00 00 00 00 00 00 46 8E                                           2018     674629567     05/03/2018 00:04:46:984     8838      
76       DUMMY60        46 8E 00 06 22 87 A8 36 07 BF 00 60 00 18 06 48 00 00 00 00 00 00 F4 ED                                           2018     674629567     05/03/2018 00:04:46:984     8839      
77       DUMMY60        F4 ED 00 06 22 88 A8 36 07 BF 00 60 00 19 06 48 00 00 00 00 00 00 24 48                                           2018     674629567     05/03/2018 00:04:46:984     8840      
78       DUMMY60        24 48 00 06 22 89 A8 36 08 3F 00 60 00 01 06 48 00 00 00 00 00 00 3B F5                                           2018     674629695     05/03/2018 00:04:48:984     8841      
79       TIMEPACKET     3B F5 00 06 22 8A A8 36 17 3F 00 05 00 00 00 00 00 00 00 00 00 00 2F 2C                                           2018     674633535     05/03/2018 00:05:48:984     8842      
80       DUMMY60        2F 2C 00 06 22 8B A8 36 25 BF 00 60 00 02 06 46 00 00 00 00 00 00 D9 80                                           2018     674637247     05/03/2018 00:06:46:984     8843      
81       DUMMY60        D9 80 00 06 22 8C A8 36 25 BF 00 60 00 03 06 46 00 00 00 00 00 00 17 42                                           2018     674637247     05/03/2018 00:06:46:984     8844      
82       DUMMY60        17 42 00 06 22 8D A8 36 25 BF 00 60 00 04 06 46 00 00 00 00 00 00 6D C1                                           2018     674637247     05/03/2018 00:06:46:984     8845      
83       DUMMY60        6D C1 00 06 22 8E A8 36 25 BF 00 60 00 05 06 46 00 00 00 00 00 00 68 B1                                           2018     674637247     05/03/2018 00:06:46:984     8846      
84       DUMMY60        68 B1 00 06 22 8F A8 36 25 BF 00 60 00 06 06 46 00 00 00 00 00 00 07 8E                                           2018     674637247     05/03/2018 00:06:46:984     8847      
85       DUMMY60        07 8E 00 06 22 90 A8 36 25 BF 00 60 00 07 06 46 00 00 00 00 00 00 B2 EF                                           2018     674637247     05/03/2018 00:06:46:984     8848      
86       DUMMY60        B2 EF 00 06 22 91 A8 36 25 BF 00 60 00 08 06 46 00 00 00 00 00 00 5E 85                                           2018     674637247     05/03/2018 00:06:46:984     8849      
87       DUMMY60        5E 85 00 06 22 92 A8 36 25 BF 00 60 00 09 06 46 00 00 00 00 00 00 1A 76                                           2018     674637247     05/03/2018 00:06:46:984     8850      
88       DUMMY60        1A 76 00 06 22 93 A8 36 25 BF 00 60 00 0A 06 46 00 00 00 00 00 00 95 1C                                           2018     674637247     05/03/2018 00:06:46:984     8851      
89       DUMMY60        95 1C 00 06 22 94 A8 36 25 BF 00 60 00 0B 06 46 00 00 00 00 00 00 9B F8                                           2018     674637247     05/03/2018 00:06:46:984     8852      
90       DUMMY60        9B F8 00 06 22 95 A8 36 25 BF 00 60 00 0C 06 46 00 00 00 00 00 00 5F 79                                           2018     674637247     05/03/2018 00:06:46:984     8853      
91       DUMMY60        5F 79 00 06 22 96 A8 36 25 BF 00 60 00 0D 06 46 00 00 00 00 00 00 AE E8                                           2018     674637247     05/03/2018 00:06:46:984     8854      
92       DUMMY60        AE E8 00 06 22 97 A8 36 25 BF 00 60 00 0E 06 46 00 00 00 00 00 00 2B 65                                           2018     674637247     05/03/2018 00:06:46:984     8855      
93       DUMMY60        2B 65 00 06 22 98 A8 36 25 BF 00 60 00 0F 06 46 00 00 00 00 00 00 0E 23                                           2018     674637247     05/03/2018 00:06:46:984     8856      
94       DUMMY60        0E 23 00 06 22 99 A8 36 25 BF 00 60 00 10 06 46 00 00 00 00 00 00 B2 5F                                           2018     674637247     05/03/2018 00:06:46:984     8857      
95       DUMMY60        B2 5F 00 06 22 9A A8 36 25 BF 00 60 00 11 06 46 00 00 00 00 00 00 CC 0B                                           2018     674637247     05/03/2018 00:06:46:984     8858      
96       DUMMY60        CC 0B 00 06 22 9B A8 36 25 BF 00 60 00 12 06 46 00 00 00 00 00 00 23 4E                                           2018     674637247     05/03/2018 00:06:46:984     8859      
97       DUMMY60        23 4E 00 06 22 9C A8 36 25 BF 00 60 00 13 06 46 00 00 00 00 00 00 59 10                                           2018     674637247     05/03/2018 00:06:46:984     8860      
98       DUMMY60        59 10 00 06 22 9D A8 36 25 BF 00 60 00 14 06 46 00 00 00 00 00 00 F9 40                                           2018     674637247     05/03/2018 00:06:46:984     8861      
99       DUMMY60        F9 40 00 06 22 9E A8 36 25 BF 00 60 00 15 06 46 00 00 00 00 00 00 66 C6                                           2018     674637247     05/03/2018 00:06:46:984     8862      
100      DUMMY60        66 C6 00 06 22 9F A8 36 25 BF 00 60 00 16 06 46 00 00 00 00 00 00 F9 A3                                           2018     674637247     05/03/2018 00:06:46:984     8863      
101      DUMMY60        F9 A3 00 06 22 A0 A8 36 25 BF 00 60 00 17 06 46 00 00 00 00 00 00 29 E4                                           2018     674637247     05/03/2018 00:06:46:984     8864      
102      DUMMY60        29 E4 00 06 22 A1 A8 36 25 BF 00 60 00 18 06 46 00 00 00 00 00 00 61 2D                                           2018     674637247     05/03/2018 00:06:46:984     8865      
103      DUMMY60        61 2D 00 06 22 A2 A8 36 25 BF 00 60 00 19 06 46 00 00 00 00 00 00 07 CB                                           2018     674637247     05/03/2018 00:06:46:984     8866      
104      DUMMY60        07 CB 00 06 22 A3 A8 36 26 3F 00 60 00 01 06 45 00 00 00 00 00 00 B2 F8                                           2018     674637375     05/03/2018 00:06:48:984     8867      
105      TIMEPACKET     B2 F8 00 06 22 A4 A8 36 35 3F 00 05 00 00 00 00 00 00 00 00 00 00 69 AA                                           2018     674641215     05/03/2018 00:07:48:984     8868      
106      DUMMY60        69 AA 00 06 22 A5 A8 36 43 BF 00 60 00 02 06 46 00 00 00 00 00 00 FE F8                                           2018     674644927     05/03/2018 00:08:46:984     8869      
107      DUMMY60        FE F8 00 06 22 A6 A8 36 43 BF 00 60 00 03 06 46 00 00 00 00 00 00 1C 71                                           2018     674644927     05/03/2018 00:08:46:984     8870      
108      DUMMY60        1C 71 00 06 22 A7 A8 36 43 BF 00 60 00 04 06 46 00 00 00 00 00 00 4F 86                                           2018     674644927     05/03/2018 00:08:46:984     8871      
109      DUMMY60        4F 86 00 06 22 A8 A8 36 43 BF 00 60 00 05 06 46 00 00 00 00 00 00 28 03                                           2018     674644927     05/03/2018 00:08:46:984     8872      
