PACKET INFORMATION OF SPOT_8
Report Taken on : 30/Apr/18 09:37:21
From: 29/Apr/18  00:00:00
To: 29/Apr/18  23:59:59 
SlNo      PKT.TYPE         PACKET                                                                                                            YEAR     LTIME         DATE&TIME                   SEQNO     
1         TIMEPACKET       29 8B 00 08 0F 35 A6 E4 40 7F 00 05 00 00 00 00 00 00 00 00 00 00 FE 9F                                           2018     652492927     04/29/2018 00:00:01:984     3893      
2         DUMMY60          FE 9F 00 08 0F 36 A6 E4 4F 3F 00 60 00 02 0E 0C 00 00 00 00 00 00 49 6E                                           2018     652496703     04/29/2018 00:01:00:984     3894      
3         DUMMY60          49 6E 00 08 0F 37 A6 E4 4F 3F 00 60 00 03 0E 0C 00 00 00 00 00 00 B5 E2                                           2018     652496703     04/29/2018 00:01:00:984     3895      
4         DUMMY60          B5 E2 00 08 0F 38 A6 E4 4F 3F 00 60 00 04 0E 0C 00 00 00 00 00 00 2E 10                                           2018     652496703     04/29/2018 00:01:00:984     3896      
5         DUMMY60          2E 10 00 08 0F 39 A6 E4 4F 3F 00 60 00 05 0E 0C 00 00 00 00 00 00 2F E8                                           2018     652496703     04/29/2018 00:01:00:984     3897      
6         DUMMY60          2F E8 00 08 0F 3A A6 E4 4F 3F 00 60 00 06 0E 0C 00 00 00 00 00 00 3F C8                                           2018     652496703     04/29/2018 00:01:00:984     3898      
7         DUMMY60          3F C8 00 08 0F 3B A6 E4 4F 3F 00 60 00 07 0E 0C 00 00 00 00 00 00 74 F4                                           2018     652496703     04/29/2018 00:01:00:984     3899      
8         DUMMY60          74 F4 00 08 0F 3C A6 E4 4F 3F 00 60 00 08 0E 0C 00 00 00 00 00 00 88 24                                           2018     652496703     04/29/2018 00:01:00:984     3900      
9         DUMMY60          88 24 00 08 0F 3D A6 E4 4F 3F 00 60 00 09 0E 0C 00 00 00 00 00 00 91 74                                           2018     652496703     04/29/2018 00:01:00:984     3901      
10        DUMMY60          91 74 00 08 0F 3E A6 E4 4F 3F 00 60 00 0A 0E 0C 00 00 00 00 00 00 96 90                                           2018     652496703     04/29/2018 00:01:00:984     3902      
11        DUMMY60          96 90 00 08 0F 3F A6 E4 4F 3F 00 60 00 0B 0E 0C 00 00 00 00 00 00 3B E2                                           2018     652496703     04/29/2018 00:01:00:984     3903      
12        DUMMY60          3B E2 00 08 0F 40 A6 E4 4F 3F 00 60 00 0C 0E 0C 00 00 00 00 00 00 42 3F                                           2018     652496703     04/29/2018 00:01:00:984     3904      
13        DUMMY60          42 3F 00 08 0F 41 A6 E4 4F 3F 00 60 00 0D 0E 0C 00 00 00 00 00 00 56 58                                           2018     652496703     04/29/2018 00:01:00:984     3905      
14        DUMMY60          56 58 00 08 0F 42 A6 E4 4F 3F 00 60 00 0E 0E 0C 00 00 00 00 00 00 4F 70                                           2018     652496703     04/29/2018 00:01:00:984     3906      
15        DUMMY60          4F 70 00 08 0F 43 A6 E4 4F 3F 00 60 00 0F 0E 0C 00 00 00 00 00 00 F8 41                                           2018     652496703     04/29/2018 00:01:00:984     3907      
16        DUMMY60          F8 41 00 08 0F 44 A6 E4 4F 3F 00 60 00 10 0E 0C 00 00 00 00 00 00 6B 92                                           2018     652496703     04/29/2018 00:01:00:984     3908      
17        DUMMY60          6B 92 00 08 0F 45 A6 E4 4F 3F 00 60 00 11 0E 0C 00 00 00 00 00 00 EC 84                                           2018     652496703     04/29/2018 00:01:00:984     3909      
18        DUMMY60          EC 84 00 08 0F 46 A6 E4 4F 3F 00 60 00 12 0E 0C 00 00 00 00 00 00 09 E1                                           2018     652496703     04/29/2018 00:01:00:984     3910      
19        DUMMY60          09 E1 00 08 0F 47 A6 E4 4F 3F 00 60 00 13 0E 0C 00 00 00 00 00 00 99 5B                                           2018     652496703     04/29/2018 00:01:00:984     3911      
20        DUMMY60          99 5B 00 08 0F 48 A6 E4 4F 3F 00 60 00 14 0E 0C 00 00 00 00 00 00 1B BC                                           2018     652496703     04/29/2018 00:01:00:984     3912      
21        DUMMY60          1B BC 00 08 0F 49 A6 E4 4F 3F 00 60 00 15 0E 0C 00 00 00 00 00 00 A8 F9                                           2018     652496703     04/29/2018 00:01:00:984     3913      
22        DUMMY60          A8 F9 00 08 0F 4A A6 E4 4F 3F 00 60 00 16 0E 0C 00 00 00 00 00 00 C6 B6                                           2018     652496703     04/29/2018 00:01:00:984     3914      
23        DUMMY60          C6 B6 00 08 0F 4B A6 E4 4F 3F 00 60 00 17 0E 0C 00 00 00 00 00 00 7D 52                                           2018     652496703     04/29/2018 00:01:00:984     3915      
24        DUMMY60          7D 52 00 08 0F 4C A6 E4 4F 3F 00 60 00 18 0E 0C 00 00 00 00 00 00 55 87                                           2018     652496703     04/29/2018 00:01:00:984     3916      
25        DUMMY60          55 87 00 08 0F 4D A6 E4 4F 3F 00 60 00 19 0E 0C 00 00 00 00 00 00 8B 52                                           2018     652496703     04/29/2018 00:01:00:984     3917      
26        DUMMY60          8B 52 00 08 0F 4E A6 E4 4F 7F 00 60 00 01 0E 0A 00 00 00 00 00 00 DA 41                                           2018     652496767     04/29/2018 00:01:01:984     3918      
27        TIMEPACKET       DA 41 00 08 0F 4F A6 E4 5E 7F 00 05 00 00 00 00 00 00 00 00 00 00 73 DA                                           2018     652500607     04/29/2018 00:02:01:984     3919      
28        DUMMY60          73 DA 00 08 0F 50 A6 E4 6D 3F 00 60 00 02 0E 0B 00 00 00 00 00 00 9A F9                                           2018     652504383     04/29/2018 00:03:00:984     3920      
29        DUMMY60          9A F9 00 08 0F 51 A6 E4 6D 3F 00 60 00 03 0E 0B 00 00 00 00 00 00 34 A1                                           2018     652504383     04/29/2018 00:03:00:984     3921      
30        DUMMY60          34 A1 00 08 0F 52 A6 E4 6D 3F 00 60 00 04 0E 0B 00 00 00 00 00 00 1C 8B                                           2018     652504383     04/29/2018 00:03:00:984     3922      
31        DUMMY60          1C 8B 00 08 0F 53 A6 E4 6D 3F 00 60 00 05 0E 0B 00 00 00 00 00 00 AA 44                                           2018     652504383     04/29/2018 00:03:00:984     3923      
32        DUMMY60          AA 44 00 08 0F 54 A6 E4 6D 3F 00 60 00 06 0E 0B 00 00 00 00 00 00 0F 4D                                           2018     652504383     04/29/2018 00:03:00:984     3924      
33        DUMMY60          0F 4D 00 08 0F 55 A6 E4 6D 3F 00 60 00 07 0E 0B 00 00 00 00 00 00 F4 AD                                           2018     652504383     04/29/2018 00:03:00:984     3925      
34        DUMMY60          F4 AD 00 08 0F 56 A6 E4 6D 3F 00 60 00 08 0E 0B 00 00 00 00 00 00 2D 11                                           2018     652504383     04/29/2018 00:03:00:984     3926      
35        DUMMY60          2D 11 00 08 0F 57 A6 E4 6D 3F 00 60 00 09 0E 0B 00 00 00 00 00 00 2A 75                                           2018     652504383     04/29/2018 00:03:00:984     3927      
36        DUMMY60          2A 75 00 08 0F 58 A6 E4 6D 3F 00 60 00 0A 0E 0B 00 00 00 00 00 00 92 D0                                           2018     652504383     04/29/2018 00:03:00:984     3928      
