PACKET INFORMATION OF SPOT_8
Report Taken on : 03/May/18 09:49:10
From: 02/May/18  08:00:00
To: 03/May/18  08:00:00 
SlNo     PKT.TYPE         PACKET                                                                                                            YEAR     LTIME         DATE&TIME                   SEQNO     
1        DUMMY60          9E 4F 00 08 C1 01 A8 35 C2 FF 00 60 00 07 0D 6C AF 16 AB 00 70 41 37 18                                           2018     674611967     05/03/2018 00:00:11:984     49409     
2        TIMEWRITELOW     37 18 00 08 C1 02 A8 35 C7 7F 00 03 01 00 00 3F 00 00 00 00 00 00 2F C9                                           2018     674613119     05/03/2018 00:00:29:984     49410     
3        DUMMY60          2F C9 00 08 C1 03 A8 35 D6 3F 00 60 00 01 0D 77 00 00 00 00 00 00 47 3F                                           2018     674616895     05/03/2018 00:01:28:984     49411     
4        DUMMY60          47 3F 00 08 C1 04 A8 35 D6 3F 00 60 00 02 0D 77 00 00 00 00 00 00 8B 1B                                           2018     674616895     05/03/2018 00:01:28:984     49412     
5        DUMMY60          8B 1B 00 08 C1 05 A8 35 D6 3F 00 60 00 03 0D 77 00 00 00 00 00 00 8C F7                                           2018     674616895     05/03/2018 00:01:28:984     49413     
6        DUMMY60          8C F7 00 08 C1 06 A8 35 D6 3F 00 60 00 04 0D 77 00 00 00 00 00 00 95 BF                                           2018     674616895     05/03/2018 00:01:28:984     49414     
7        DUMMY60          95 BF 00 08 C1 07 A8 35 D6 3F 00 60 00 05 0D 77 00 00 00 00 00 00 34 43                                           2018     674616895     05/03/2018 00:01:28:984     49415     
8        DUMMY60          34 43 00 08 C1 08 A8 35 D6 3F 00 60 00 08 0D 77 00 00 00 00 00 00 24 0F                                           2018     674616895     05/03/2018 00:01:28:984     49416     
9        DUMMY60          24 0F 00 08 C1 09 A8 35 D6 3F 00 60 00 09 0D 77 00 00 00 00 00 00 D1 33                                           2018     674616895     05/03/2018 00:01:28:984     49417     
10       DUMMY60          D1 33 00 08 C1 0A A8 35 D6 3F 00 60 00 0A 0D 77 00 00 00 00 00 00 94 57                                           2018     674616895     05/03/2018 00:01:28:984     49418     
11       DUMMY60          94 57 00 08 C1 0B A8 35 D6 3F 00 60 00 0B 0D 77 00 00 00 00 00 00 01 23                                           2018     674616895     05/03/2018 00:01:28:984     49419     
12       DUMMY60          01 23 00 08 C1 0C A8 35 D6 3F 00 60 00 0C 0D 77 00 00 00 00 00 00 F0 D7                                           2018     674616895     05/03/2018 00:01:28:984     49420     
13       DUMMY60          F0 D7 00 08 C1 0D A8 35 D6 3F 00 60 00 0D 0D 77 00 00 00 00 00 00 17 BD                                           2018     674616895     05/03/2018 00:01:28:984     49421     
14       DUMMY60          17 BD 00 08 C1 0E A8 35 D6 3F 00 60 00 0E 0D 77 00 00 00 00 00 00 7D E2                                           2018     674616895     05/03/2018 00:01:28:984     49422     
15       DUMMY60          7D E2 00 08 C1 0F A8 35 D6 3F 00 60 00 0F 0D 77 00 00 00 00 00 00 EF 8A                                           2018     674616895     05/03/2018 00:01:28:984     49423     
16       DUMMY60          EF 8A 00 08 C1 10 A8 35 D6 3F 00 60 00 10 0D 77 00 00 00 00 00 00 CA 47                                           2018     674616895     05/03/2018 00:01:28:984     49424     
17       DUMMY60          CA 47 00 08 C1 11 A8 35 D6 3F 00 60 00 11 0D 77 00 00 00 00 00 00 C1 13                                           2018     674616895     05/03/2018 00:01:28:984     49425     
18       DUMMY60          C1 13 00 08 C1 12 A8 35 D6 3F 00 60 00 12 0D 77 00 00 00 00 00 00 C7 BA                                           2018     674616895     05/03/2018 00:01:28:984     49426     
